#time,accel_x,accel_y,accel_z
20604.698607,-592.164754,-306.438199,9030.512492
20604.698930,-666.185348,-766.095498,8808.450710
20604.699253,0.000000,-383.047749,9104.533087
20604.699577,0.000000,0.000000,9252.574275
20604.699900,-370.102971,-383.047749,8734.430116
20604.700224,0.000000,-306.438199,8808.450710
20604.700547,0.000000,-229.828649,8882.471304
20604.700870,74.020594,-76.609550,9030.512492
20604.701194,-222.061783,-229.828649,8734.430116
20604.701517,-518.144159,-153.219100,8438.347739
20604.701841,-740.205942,-766.095498,8734.430116
20604.702164,-222.061783,-689.485948,9104.533087
20604.702487,-1110.308913,-919.314598,9104.533087
20604.702811,-1480.411884,-1072.533697,9400.615463
20604.703134,-888.247130,-1225.752797,9474.636058
20604.703458,-370.102971,-612.876398,9770.718434
20604.703781,-518.144159,-842.705048,9474.636058
20604.704104,-296.082377,-612.876398,9326.594869
20604.704428,518.144159,-153.219100,8882.471304
20604.704751,962.267725,-153.219100,9474.636058
20604.705075,1406.391290,76.609550,9770.718434
20604.705398,962.267725,153.219100,9400.615463
20604.705721,888.247130,76.609550,9178.553681
20604.706045,1184.329507,229.828649,9326.594869
20604.706368,1184.329507,229.828649,9622.677246
20604.706692,370.102971,0.000000,9030.512492
20604.707015,0.000000,0.000000,9252.574275
20604.707338,518.144159,0.000000,9030.512492
20604.707662,444.123565,383.047749,9178.553681
20604.707985,296.082377,306.438199,9104.533087
20604.708309,518.144159,689.485948,8956.491898
20604.708632,1258.350101,766.095498,8882.471304
20604.708955,1406.391290,1149.143247,9104.533087
20604.709279,1850.514855,1149.143247,9030.512492
20604.709602,1110.308913,1072.533697,9326.594869
20604.709926,1258.350101,995.924147,8956.491898
20604.710249,1776.494261,842.705048,9252.574275
20604.710572,1924.535449,612.876398,9252.574275
20604.710896,1406.391290,1532.190996,8956.491898
20604.711219,2442.679609,1455.581446,9400.615463
20604.711543,2812.782580,1608.800546,9326.594869
20604.711866,3552.988522,2528.115143,9400.615463
20604.712189,4219.173869,2834.553343,9474.636058
20604.712513,4737.318029,3294.210641,9400.615463
20604.712836,5181.441594,3907.087040,9104.533087
20604.713160,4737.318029,3907.087040,8808.450710
20604.713483,4959.379811,3677.258390,8734.430116
20604.713806,3923.091493,4290.134789,8512.368333
20604.714130,3849.070898,3830.477490,8882.471304
20604.714453,3256.906145,3524.039291,8586.388927
20604.714777,2146.597232,3677.258390,8290.306550
20604.715100,1998.556043,3524.039291,8438.347739
20604.715423,2072.576638,3753.867940,8216.285956
20604.715747,1184.329507,3600.648841,7920.203579
20604.716070,888.247130,3217.601092,7920.203579
20604.716394,740.205942,3217.601092,8142.265362
20604.716717,370.102971,2834.553343,8512.368333
20604.717040,0.000000,2374.896044,8882.471304
20604.717364,-1110.308913,1455.581446,8364.327145
20604.717687,-1628.453072,1302.362347,8290.306550
20604.718011,-2072.576638,1072.533697,8438.347739
20604.718334,-1554.432478,0.000000,8364.327145
20604.718657,-2664.741391,76.609550,8586.388927
20604.718981,-2294.638420,76.609550,8438.347739
20604.719304,-962.267725,0.000000,8586.388927
20604.719628,-148.041188,76.609550,8734.430116
20604.719951,148.041188,612.876398,8882.471304
20604.720274,444.123565,0.000000,9770.718434
20604.720598,444.123565,-459.657299,10066.800811
20604.720921,1480.411884,-1072.533697,11251.130318
20604.721245,1702.473667,-1838.629195,11843.295072
20604.721568,1036.288319,-2374.896044,12435.459826
20604.721891,1332.370696,-2834.553343,12139.377449
20604.722215,2960.823768,-2221.676944,12139.377449
20604.722538,3330.926739,-1991.848295,11547.212695
20604.722862,2516.700203,-1608.800546,10214.842000
20604.723185,3552.988522,-612.876398,9178.553681
20604.723508,4293.194464,-536.266849,8068.244768
20604.723832,4515.256246,459.657299,7402.059420
20604.724155,4515.256246,1378.971896,7402.059420
20604.724479,4959.379811,1532.190996,6291.750507
20604.724802,5329.482782,2221.676944,6069.688724
20604.725125,5699.585753,2451.505594,7031.956449
20604.725449,5033.400406,2451.505594,7846.182985
20604.725772,4219.173869,2528.115143,9030.512492
20604.726096,3923.091493,1225.752797,9918.759623
20604.726419,3330.926739,459.657299,11473.192101
20604.726742,1702.473667,459.657299,12435.459826
20604.727066,962.267725,153.219100,12509.480420
20604.727389,370.102971,0.000000,12139.377449
20604.727713,-370.102971,-383.047749,10807.006753
20604.728036,518.144159,995.924147,9474.636058
20604.728359,1924.535449,2911.162892,8586.388927
20604.728683,3182.885551,4826.401637,7105.977043
20604.729006,4589.276840,7048.078582,5255.462188
20604.729330,4959.379811,7737.564530,3775.050304
20604.729653,4071.132681,8810.098227,3552.988522
20604.729976,3701.029710,8580.269578,4367.215058
20604.730300,2368.659014,7201.297681,5995.668130
20604.730623,-370.102971,4826.401637,9030.512492
20604.730947,-3701.029710,2068.457845,10362.883188
20604.731270,-4737.318029,-919.314598,11177.109724
20604.731593,-5403.503377,-2604.724693,12953.603985
20604.731917,-5329.482782,-2451.505594,14285.974681
20604.732240,-3775.050304,-1149.143247,15100.201217
20604.732564,-592.164754,306.438199,13323.706956
20604.732887,2738.761985,1685.410096,10807.006753
20604.733210,4145.153275,4136.915689,8734.430116
20604.733534,4145.153275,5822.325785,6513.812290
20604.733857,5255.462188,6205.373534,4737.318029
20604.734181,6513.812290,6358.592633,3701.029710
20604.734504,5329.482782,6205.373534,3849.070898
20604.734827,3552.988522,6281.983084,4811.338623
20604.735151,2294.638420,3907.087040,5477.523971
20604.735474,888.247130,2068.457845,6143.709319
20604.735798,592.164754,536.266849,7624.121203
20604.736121,-74.020594,0.000000,10436.903782
20604.736444,-1924.535449,-1532.190996,12361.439231
20604.736768,-1850.514855,-3524.039291,12435.459826
20604.737091,-814.226536,-4213.525239,12361.439231
20604.737415,962.267725,-4060.306139,13175.665768
20604.737738,1998.556043,-2221.676944,14211.954086
20604.738061,3256.906145,-995.924147,13249.686362
20604.738385,5033.400406,-919.314598,12213.398043
20604.738708,5329.482782,-612.876398,10955.047942
20604.739031,3997.112087,-383.047749,10066.800811
20604.739355,3997.112087,-536.266849,8734.430116
20604.739678,5107.421000,-153.219100,7698.141797
20604.740002,4811.338623,842.705048,8142.265362
20604.740325,4589.276840,2221.676944,7698.141797
20604.740648,5181.441594,2681.334243,5921.647536
20604.740972,4737.318029,2451.505594,6439.791695
20604.741295,3775.050304,2757.943793,5995.668130
20604.741619,3108.864956,2145.067394,5847.626942
20604.741942,3256.906145,1455.581446,7476.080014
20604.742265,2072.576638,1149.143247,9622.677246
20604.742589,222.061783,1685.410096,11769.274478
20604.742912,-1406.391290,0.000000,12065.356855
20604.743236,-2368.659014,-1685.410096,12731.542202
20604.743559,-2368.659014,-1838.629195,13471.748144
20604.743882,-2368.659014,-2374.896044,12139.377449
20604.744206,-2368.659014,-1302.362347,11695.253884
20604.744529,-666.185348,842.705048,10584.944971
20604.744853,962.267725,3294.210641,7920.203579
20604.745176,1998.556043,4290.134789,4293.194464
20604.745499,3182.885551,5439.278036,2368.659014
20604.745823,5181.441594,7890.783629,2146.597232
20604.746146,6365.771101,9193.145976,3775.050304
20604.746470,4737.318029,8810.098227,4737.318029
20604.746793,3256.906145,7431.126331,6291.750507
20604.747116,370.102971,4826.401637,8290.306550
20604.747440,-2886.803174,1608.800546,11547.212695
20604.747763,-5625.565159,-1915.238745,14063.912898
20604.748087,-7328.038826,-4136.915689,16358.551318
20604.748410,-8068.244768,-6281.983084,16876.695478
20604.748733,-6661.853478,-6358.592633,16210.510130
20604.749057,-4589.276840,-4443.353888,15174.221811
20604.749380,-740.205942,-1225.752797,10510.924376
20604.749704,4071.132681,2911.162892,6883.915261
20604.750027,8882.471304,6128.763984,3627.009116
20604.750350,12139.377449,9346.365076,1554.432478
20604.750674,12509.480420,11184.994271,1258.350101
20604.750997,10584.944971,9729.412825,888.247130
20604.751321,7698.141797,6741.640382,888.247130
20604.751644,4737.318029,3600.648841,5995.668130
20604.751967,1480.411884,383.047749,12509.480420
20604.752291,-2368.659014,-2298.286494,15396.283594
20604.752614,-4515.256246,-5822.325785,17172.777854
20604.752938,-4885.359217,-9269.755526,16358.551318
20604.753261,-4959.379811,-8350.440928,14434.015869
20604.753584,-1480.411884,-4903.011187,13471.748144
20604.753908,1554.432478,-1915.238745,12287.418637
20604.754231,3108.864956,1072.533697,9474.636058
20604.754555,3997.112087,2681.334243,6365.771101
20604.754878,5329.482782,2451.505594,3552.988522
20604.755201,4959.379811,2757.943793,4515.256246
20604.755524,3701.029710,3753.867940,5847.626942
20604.755847,3182.885551,2834.553343,6735.874072
20604.756170,2886.803174,153.219100,8068.244768
20604.756494,962.267725,-842.705048,7031.956449
20604.756817,222.061783,-536.266849,9474.636058
20604.757140,0.000000,-995.924147,11399.171507
20604.757463,-296.082377,-1685.410096,11399.171507
20604.757786,-1036.288319,-2374.896044,11917.315666
20604.758109,-2146.597232,-2987.772442,11695.253884
20604.758432,-4959.379811,-2757.943793,10214.842000
20604.758755,-6143.709319,-3983.696590,10362.883188
20604.759078,-5921.647536,-4596.572988,9770.718434
20604.759401,-4663.297435,-3830.477490,9474.636058
20604.759725,-2738.761985,-2221.676944,9474.636058
20604.760048,-2368.659014,612.876398,8142.265362
20604.760371,-1184.329507,2145.067394,7254.018232
20604.760694,1554.432478,2604.724693,6513.812290
20604.761017,2368.659014,2374.896044,6587.832884
20604.761340,2368.659014,2145.067394,5625.565159
20604.761663,1406.391290,1378.971896,5699.585753
20604.761986,-222.061783,306.438199,8512.368333
20604.762309,-2146.597232,-536.266849,10288.862594
20604.762632,-2664.741391,-2298.286494,11177.109724
20604.762955,-2442.679609,-3677.258390,12509.480420
20604.763279,-1628.453072,-3140.991542,12805.562797
20604.763602,-1628.453072,-1991.848295,13471.748144
20604.763925,-1480.411884,-1838.629195,12361.439231
20604.764248,-2368.659014,-612.876398,11177.109724
20604.764571,-1332.370696,-842.705048,8586.388927
20604.764894,444.123565,-306.438199,6513.812290
20604.765217,-518.144159,0.000000,7550.100608
20604.765540,-1258.350101,1072.533697,8660.409521
20604.765863,-2146.597232,1225.752797,7698.141797
20604.766186,148.041188,-459.657299,6587.832884
20604.766510,1480.411884,-842.705048,6291.750507
20604.766833,0.000000,1149.143247,7254.018232
20604.767156,0.000000,1532.190996,7772.162391
20604.767479,1628.453072,459.657299,8438.347739
20604.767802,2516.700203,229.828649,10362.883188
20604.768125,1628.453072,-153.219100,10140.821405
20604.768448,222.061783,-1378.971896,10510.924376
20604.768771,-222.061783,-2298.286494,11917.315666
20604.769094,370.102971,-1685.410096,12583.501014
20604.769417,1628.453072,-1685.410096,10732.986159
