#time,accel_x,accel_y,accel_z
20922.285772,-3627.009116,1302.362347,10510.924376
20922.286095,-4219.173869,1302.362347,10066.800811
20922.286419,-4293.194464,1991.848295,9548.656652
20922.286742,-2812.782580,2374.896044,8438.347739
20922.287066,-1480.411884,2298.286494,7550.100608
20922.287389,-2294.638420,3600.648841,7994.224174
20922.287713,-3182.885551,2987.772442,6809.894666
20922.288036,-3182.885551,2681.334243,5477.523971
20922.288360,-2294.638420,2528.115143,6957.935855
20922.288683,-2442.679609,2604.724693,7031.956449
20922.289007,-2738.761985,2451.505594,6957.935855
20922.289330,-1924.535449,1838.629195,7328.038826
20922.289654,-962.267725,2911.162892,8734.430116
20922.289977,0.000000,3370.820191,9622.677246
20922.290301,-888.247130,2374.896044,9548.656652
20922.290624,-888.247130,2451.505594,9770.718434
20922.290948,-666.185348,2604.724693,10140.821405
20922.291271,-740.205942,2528.115143,10510.924376
20922.291595,-1406.391290,2298.286494,10584.944971
20922.291918,-1850.514855,2681.334243,10732.986159
20922.292242,-2516.700203,2528.115143,9992.780217
20922.292565,-1850.514855,2451.505594,10584.944971
20922.292889,-1924.535449,2528.115143,11695.253884
20922.293212,-3182.885551,2757.943793,10955.047942
20922.293536,-3330.926739,2757.943793,10362.883188
20922.293859,-2738.761985,2528.115143,9622.677246
20922.294183,-1776.494261,2834.553343,9548.656652
20922.294506,-2960.823768,2987.772442,9400.615463
20922.294830,-3404.947333,3753.867940,9104.533087
20922.295153,-4145.153275,2834.553343,8364.327145
20922.295477,-4071.132681,2757.943793,8438.347739
20922.295800,-4737.318029,2987.772442,8512.368333
20922.296123,-5181.441594,2681.334243,7624.121203
20922.296447,-5181.441594,3064.381992,7550.100608
20922.296770,-4441.235652,3370.820191,7105.977043
20922.297094,-3997.112087,3370.820191,7328.038826
20922.297417,-4293.194464,3524.039291,7105.977043
20922.297741,-3034.844362,3370.820191,6661.853478
20922.298064,-2146.597232,3294.210641,6365.771101
20922.298388,-1924.535449,2681.334243,6735.874072
20922.298711,-1998.556043,1685.410096,7105.977043
20922.299035,-1702.473667,919.314598,7698.141797
20922.299358,-1554.432478,306.438199,8364.327145
20922.299682,-1702.473667,-1072.533697,9474.636058
20922.300005,-2516.700203,-1685.410096,10658.965565
20922.300329,-2516.700203,-1608.800546,11917.315666
20922.300652,-2072.576638,-1608.800546,12805.562797
20922.300976,-1998.556043,-1072.533697,12657.521608
20922.301299,-1776.494261,-459.657299,12657.521608
20922.301623,-740.205942,306.438199,12065.356855
20922.301946,592.164754,995.924147,11843.295072
20922.302270,1406.391290,1149.143247,11103.089130
20922.302593,592.164754,1378.971896,10066.800811
20922.302917,444.123565,1072.533697,9252.574275
20922.303240,962.267725,459.657299,8586.388927
20922.303564,1036.288319,-229.828649,8364.327145
20922.303887,-592.164754,-689.485948,7772.162391
20922.304211,-1554.432478,-1838.629195,7254.018232
20922.304534,-1036.288319,-2987.772442,8438.347739
20922.304858,-1998.556043,-2834.553343,8882.471304
20922.305181,-3404.947333,-2145.067394,9918.759623
20922.305505,-4293.194464,-1532.190996,10214.842000
20922.305828,-4219.173869,-689.485948,10584.944971
20922.306152,-4293.194464,1838.629195,11325.150913
20922.306475,-4515.256246,3064.381992,11695.253884
20922.306798,-4885.359217,3677.258390,11177.109724
20922.307122,-5107.421000,5286.058936,9696.697840
20922.307445,-3627.009116,6052.154434,8734.430116
20922.307769,-3108.864956,6281.983084,7254.018232
20922.308092,-3330.926739,6358.592633,5773.606348
20922.308416,-2442.679609,5132.839837,5181.441594
20922.308739,-3330.926739,3447.429741,5033.400406
20922.309063,-4071.132681,2145.067394,5403.503377
20922.309386,-4737.318029,612.876398,7254.018232
20922.309710,-5477.523971,-689.485948,7994.224174
20922.310033,-5699.585753,-1838.629195,9030.512492
20922.310357,-5033.400406,-1455.581446,10584.944971
20922.310680,-4145.153275,-306.438199,11621.233289
20922.311003,-2886.803174,2145.067394,11769.274478
20922.311327,0.000000,3907.087040,10658.965565
20922.311650,1850.514855,5592.497135,9474.636058
20922.311973,2368.659014,6894.859482,9474.636058
20922.312297,2146.597232,8273.831378,9252.574275
20922.312620,1406.391290,8197.221829,8956.491898
20922.312943,0.000000,7737.564530,8660.409521
20922.313267,-1924.535449,6052.154434,9992.780217
20922.313590,-3849.070898,4136.915689,10288.862594
20922.313913,-4293.194464,2834.553343,9770.718434
20922.314237,-4515.256246,1072.533697,9622.677246
20922.314560,-4737.318029,0.000000,8734.430116
20922.314883,-4663.297435,-689.485948,8068.244768
20922.315207,-2738.761985,-383.047749,7698.141797
20922.315530,-814.226536,0.000000,6217.729913
20922.315853,-74.020594,536.266849,6143.709319
20922.316177,0.000000,1072.533697,5699.585753
20922.316500,1554.432478,383.047749,5255.462188
20922.316823,2812.782580,306.438199,5699.585753
20922.317147,3552.988522,536.266849,7328.038826
20922.317470,3034.844362,0.000000,9400.615463
20922.317793,2368.659014,0.000000,11399.171507
20922.318117,888.247130,-689.485948,13471.748144
20922.318440,-370.102971,-229.828649,14656.077652
20922.318763,-2368.659014,-2145.067394,14804.118840
20922.319087,-3404.947333,-2145.067394,14063.912898
20922.319410,-2812.782580,-1225.752797,13027.624579
20922.319733,-1850.514855,-153.219100,11177.109724
20922.320057,-1702.473667,383.047749,8660.409521
20922.320380,-1924.535449,383.047749,5921.647536
20922.320703,-296.082377,0.000000,4959.379811
20922.321027,222.061783,-306.438199,5551.544565
20922.321350,-592.164754,-1838.629195,6291.750507
20922.321673,-370.102971,-3907.087040,6365.771101
20922.321997,0.000000,-5669.106685,7179.997637
20922.322320,-148.041188,-6511.811733,8734.430116
20922.322643,-1332.370696,-6971.469032,10584.944971
20922.322967,-3256.906145,-6588.421283,12953.603985
20922.323290,-2886.803174,-5286.058936,14211.954086
20922.323613,-2664.741391,-3600.648841,16062.468941
20922.323937,-3256.906145,-1532.190996,15544.324782
20922.324260,-3701.029710,1072.533697,13841.851115
20922.324583,-962.267725,4060.306139,10066.800811
20922.324906,1036.288319,6358.592633,7698.141797
20922.325230,1036.288319,7354.516781,5033.400406
20922.325553,1406.391290,7814.174080,1998.556043
20922.325876,2368.659014,6052.154434,666.185348
20922.326200,666.185348,3677.258390,1776.494261
20922.326523,-1184.329507,383.047749,2590.720797
20922.326846,-1924.535449,-3600.648841,2368.659014
20922.327170,-2368.659014,-7584.345430,5181.441594
20922.327493,-3923.091493,-8503.660028,8956.491898
20922.327816,-4811.338623,-8580.269578,13915.871710
20922.328140,-5107.421000,-7967.393179,15544.324782
20922.328463,-3701.029710,-5898.935335,17987.004391
20922.328786,-1702.473667,-2068.457845,18653.189738
20922.329110,-666.185348,2451.505594,16728.654289
20922.329433,2294.638420,5822.325785,14063.912898
20922.329756,6143.709319,10265.679673,12065.356855
20922.330080,7846.182985,12870.404366,8290.306550
20922.330403,8512.368333,13100.233016,4071.132681
20922.330726,8956.491898,10495.508323,1776.494261
20922.331050,6513.812290,7814.174080,1480.411884
20922.331373,3552.988522,2987.772442,2146.597232
20922.331696,2072.576638,-2834.553343,1332.370696
20922.332020,-962.267725,-7660.954980,4071.132681
20922.332343,-5255.462188,-10495.508323,7772.162391
20922.332666,-7105.977043,-12487.356617,11399.171507
20922.332990,-8438.347739,-12640.575717,13915.871710
20922.333313,-9030.512492,-10878.556072,17172.777854
20922.333636,-7105.977043,-6281.983084,18949.272115
20922.333960,-2442.679609,-1302.362347,17764.942608
20922.334283,1480.411884,4290.134789,15618.345376
20922.334606,4441.235652,9346.365076,13175.665768
20922.334930,5625.565159,13253.452115,8586.388927
20922.335253,7328.038826,14249.376263,3182.885551
20922.335576,9326.594869,13253.452115,1036.288319
20922.335900,8438.347739,9806.022374,-518.144159
20922.336223,3997.112087,4749.792088,-0.000000
20922.336546,0.000000,-1991.848295,962.267725
20922.336870,-2812.782580,-7354.516781,2886.803174
20922.337193,-5699.585753,-13100.233016,7328.038826
20922.337516,-10140.821405,-16241.224558,11917.315666
20922.337840,-13767.830521,-16547.662757,14285.974681
20922.338163,-12065.356855,-15321.909960,17616.901420
20922.338486,-10362.883188,-11721.261119,20429.683999
20922.338810,-6735.874072,-5439.278036,19689.478057
20922.339133,-1406.391290,919.314598,17394.839637
20922.339456,740.205942,5975.544884,13471.748144
20922.339780,3182.885551,10495.508323,9992.780217
20922.340103,7698.141797,13559.890315,5773.606348
20922.340426,11029.068536,14096.157163,3404.947333
20922.340750,10140.821405,11184.994271,1480.411884
20922.341073,6291.750507,6665.030833,-888.247130
20922.341396,3478.967927,0.000000,-1184.329507
20922.341720,1184.329507,-5209.449386,2368.659014
20922.342043,-2146.597232,-9882.631924,6883.915261
20922.342366,-7105.977043,-13713.109414,10584.944971
20922.342690,-10881.027347,-16011.395908,13027.624579
20922.343013,-10658.965565,-15934.786358,15026.180623
20922.343336,-9030.512492,-12027.699319,18579.169144
20922.343660,-6439.791695,-6128.763984,18727.210333
20922.343983,-1776.494261,842.705048,16358.551318
20922.344306,2220.617826,5515.887586,12657.521608
20922.344630,4737.318029,11338.213370,8290.306550
20922.344953,8290.306550,14249.376263,3552.988522
20922.345276,12879.583391,14555.814462,1184.329507
20922.345600,13323.706956,13176.842566,592.164754
20922.345923,10288.862594,9499.584175,296.082377
20922.346246,8142.265362,3140.991542,592.164754
20922.346570,4811.338623,-3064.381992,5551.544565
20922.346893,0.000000,-9039.926876,9030.512492
20922.347216,-5107.421000,-12563.966167,13101.645173
20922.347540,-8364.327145,-15781.567259,16358.551318
20922.347863,-9252.574275,-14938.862211,18653.189738
20922.348186,-9030.512492,-11797.870669,20799.786970
20922.348510,-6957.935855,-7048.078582,18653.189738
20922.348833,-4293.194464,-612.876398,16284.530724
20922.349156,-2220.617826,4673.182538,12065.356855
20922.349480,74.020594,9576.193725,8068.244768
20922.349803,4811.338623,13023.623466,3034.844362
20922.350126,8142.265362,14555.814462,-222.061783
20922.350450,9474.636058,13100.233016,-592.164754
20922.350773,7254.018232,10648.727422,-2368.659014
20922.351096,4293.194464,3830.477490,-3034.844362
20922.351420,2072.576638,-1685.410096,2664.741391
20922.351743,-1924.535449,-6205.373534,8142.265362
20922.352066,-7550.100608,-10801.946522,12065.356855
20922.352390,-9326.594869,-13406.671215,16802.674883
20922.352713,-9326.594869,-14709.033562,18431.127956
20922.353036,-10732.986159,-11797.870669,18949.272115
20922.353359,-9400.615463,-6971.469032,17838.963202
