#time,accel_x,accel_y,accel_z
1231.045604,-370.102971,842.705048,9474.636058
1231.045930,0.000000,306.438199,9474.636058
1231.046256,222.061783,0.000000,9844.739029
1231.046582,518.144159,995.924147,9696.697840
1231.046908,222.061783,1991.848295,7994.224174
1231.047234,1480.411884,1378.971896,9252.574275
1231.047560,1702.473667,766.095498,9918.759623
1231.047886,0.000000,689.485948,9252.574275
1231.048212,-444.123565,1378.971896,8956.491898
1231.048538,592.164754,689.485948,9548.656652
1231.048864,148.041188,0.000000,9400.615463
1231.049190,-592.164754,-536.266849,9104.533087
1231.049516,-814.226536,306.438199,9252.574275
1231.049842,-444.123565,459.657299,8808.450710
1231.050168,-148.041188,0.000000,9252.574275
1231.050494,-666.185348,306.438199,9696.697840
1231.050819,-962.267725,1378.971896,8586.388927
1231.051145,0.000000,1532.190996,8660.409521
1231.051471,1406.391290,919.314598,9696.697840
1231.051797,-666.185348,919.314598,8882.471304
1231.052123,-1184.329507,1532.190996,8438.347739
1231.052449,222.061783,1225.752797,9104.533087
1231.052775,740.205942,76.609550,9474.636058
1231.053101,-296.082377,229.828649,9030.512492
1231.053427,-74.020594,1149.143247,8438.347739
1231.053753,370.102971,1455.581446,9030.512492
1231.054079,888.247130,1072.533697,9178.553681
1231.054405,888.247130,1072.533697,9622.677246
1231.054731,740.205942,1455.581446,9474.636058
1231.055057,1332.370696,2298.286494,8956.491898
1231.055383,2294.638420,2298.286494,9548.656652
1231.055709,2664.741391,1915.238745,10066.800811
1231.056035,1332.370696,2604.724693,9548.656652
1231.056361,1702.473667,2451.505594,9326.594869
1231.056687,3108.864956,1685.410096,9844.739029
1231.057013,2442.679609,1762.019645,10066.800811
1231.057338,1480.411884,2451.505594,9622.677246
1231.057664,2442.679609,2604.724693,9474.636058
1231.057990,3478.967927,2145.067394,9400.615463
1231.058316,3330.926739,2451.505594,9474.636058
1231.058642,3330.926739,3600.648841,9548.656652
1231.058968,3849.070898,4060.306139,9400.615463
1231.059294,4589.276840,3830.477490,8586.388927
1231.059620,4737.318029,3600.648841,9326.594869
1231.059946,3478.967927,4213.525239,8512.368333
1231.060272,2812.782580,4290.134789,7550.100608
