#time,accel_x,accel_y,accel_z
16569.815797,-4515.256246,1991.848295,11547.212695
16569.816121,-4367.215058,2451.505594,10658.965565
16569.816445,-2664.741391,3907.087040,9548.656652
16569.816770,-592.164754,4136.915689,9252.574275
16569.817094,-2442.679609,4826.401637,8882.471304
16569.817419,-2812.782580,4213.525239,7254.018232
16569.817743,-2294.638420,4596.572988,6217.729913
16569.818067,-1258.350101,4519.963438,6143.709319
16569.818392,-2146.597232,3983.696590,5625.565159
16569.818716,-2072.576638,3677.258390,5847.626942
16569.819041,-1628.453072,3830.477490,5625.565159
16569.819365,-666.185348,3983.696590,7402.059420
16569.819689,-1258.350101,2604.724693,9104.533087
16569.820014,-2442.679609,2757.943793,9474.636058
16569.820338,-1628.453072,3370.820191,10140.821405
16569.820663,-740.205942,3217.601092,11325.150913
16569.820987,-1110.308913,1915.238745,11843.295072
16569.821312,-1776.494261,3064.381992,11621.233289
16569.821636,-1258.350101,2757.943793,10955.047942
16569.821960,-814.226536,3064.381992,10955.047942
16569.822285,-444.123565,3217.601092,12065.356855
16569.822609,-962.267725,3753.867940,12213.398043
16569.822934,-1702.473667,3524.039291,11991.336260
16569.823258,-444.123565,3907.087040,11251.130318
16569.823582,-444.123565,4136.915689,10881.027347
16569.823907,-2294.638420,4213.525239,10362.883188
16569.824231,-2590.720797,3907.087040,9992.780217
16569.824556,-2368.659014,4290.134789,9474.636058
16569.824880,-3108.864956,3907.087040,9252.574275
16569.825204,-4589.276840,4136.915689,9030.512492
16569.825529,-5181.441594,4826.401637,7550.100608
16569.825853,-5551.544565,5515.887586,6143.709319
16569.826178,-5107.421000,4979.620737,7031.956449
16569.826502,-5033.400406,6128.763984,7031.956449
16569.826826,-5551.544565,6281.983084,6587.832884
16569.827151,-5033.400406,6435.202183,5921.647536
16569.827475,-3034.844362,6588.421283,6809.894666
16569.827800,-1998.556043,6281.983084,7328.038826
16569.828124,-2738.761985,5669.106685,6735.874072
16569.828449,-1702.473667,4826.401637,6587.832884
16569.828773,-740.205942,4213.525239,7031.956449
16569.829097,-1406.391290,2681.334243,7920.203579
16569.829422,-1702.473667,2068.457845,9326.594869
16569.829746,-2072.576638,1072.533697,9770.718434
16569.830071,-2516.700203,536.266849,10732.986159
16569.830395,-2294.638420,0.000000,12361.439231
16569.830719,-2220.617826,536.266849,12953.603985
16569.831044,-3108.864956,689.485948,12583.501014
16569.831368,-1406.391290,995.924147,12361.439231
16569.831693,74.020594,1608.800546,11917.315666
16569.832017,-370.102971,1838.629195,11177.109724
16569.832341,74.020594,1455.581446,9770.718434
16569.832666,1036.288319,1302.362347,8882.471304
16569.832990,962.267725,153.219100,8438.347739
16569.833315,814.226536,-536.266849,8068.244768
16569.833639,1406.391290,-1455.581446,7402.059420
16569.833964,1184.329507,-2145.067394,7179.997637
16569.834288,1184.329507,-2681.334243,7846.182985
16569.834612,1406.391290,-3064.381992,8586.388927
16569.834937,518.144159,-3370.820191,9770.718434
16569.835261,222.061783,-2374.896044,10288.862594
16569.835586,1628.453072,-1149.143247,11103.089130
16569.835910,444.123565,0.000000,12509.480420
16569.836234,-1406.391290,689.485948,12213.398043
16569.836559,-1850.514855,1762.019645,11695.253884
16569.836883,-1628.453072,3677.258390,11399.171507
16569.837208,-3182.885551,4290.134789,10510.924376
16569.837532,-3997.112087,3983.696590,9696.697840
16569.837856,-4293.194464,4136.915689,8068.244768
16569.838180,-3997.112087,3217.601092,7105.977043
16569.838505,-3627.009116,2221.676944,6069.688724
16569.838829,-3182.885551,995.924147,5107.421000
16569.839153,-3997.112087,0.000000,5255.462188
16569.839478,-3923.091493,-1225.752797,5773.606348
16569.839802,-2590.720797,-1072.533697,7476.080014
16569.840126,-3997.112087,-2298.286494,9030.512492
16569.840450,-3478.967927,-1455.581446,10140.821405
16569.840775,-1924.535449,153.219100,10955.047942
16569.841099,74.020594,2068.457845,11325.150913
16569.841423,1406.391290,4136.915689,11399.171507
16569.841748,3182.885551,6205.373534,10732.986159
16569.842072,4959.379811,7737.564530,9770.718434
16569.842396,5773.606348,8197.221829,7476.080014
16569.842720,7105.977043,7660.954980,7179.997637
16569.843045,5551.544565,6205.373534,6587.832884
16569.843369,3034.844362,3983.696590,6587.832884
16569.843693,1554.432478,1991.848295,8956.491898
16569.844018,-1184.329507,-766.095498,11177.109724
16569.844342,-4589.276840,-2681.334243,11695.253884
16569.844666,-5921.647536,-3447.429741,12731.542202
16569.844990,-5995.668130,-3140.991542,13175.665768
16569.845315,-5625.565159,-2221.676944,13693.809927
16569.845639,-3849.070898,306.438199,13027.624579
16569.845963,-1776.494261,2987.772442,11251.130318
16569.846288,592.164754,5132.839837,8956.491898
16569.846612,2960.823768,7354.516781,7031.956449
16569.846936,5477.523971,7737.564530,4589.276840
16569.847260,6809.894666,7431.126331,3923.091493
16569.847585,6291.750507,6435.202183,3552.988522
16569.847909,4441.235652,3524.039291,4737.318029
16569.848233,1480.411884,-383.047749,6439.791695
16569.848558,-592.164754,-3294.210641,7105.977043
16569.848882,-1258.350101,-4903.011187,9104.533087
16569.849206,-2664.741391,-5515.887586,11325.150913
16569.849530,-1924.535449,-6128.763984,11399.171507
16569.849855,-370.102971,-4903.011187,11473.192101
16569.850179,1776.494261,-3140.991542,10955.047942
16569.850503,3108.864956,-1608.800546,10436.903782
16569.850828,4959.379811,-612.876398,9622.677246
16569.851152,5921.647536,0.000000,9474.636058
16569.851476,5625.565159,1378.971896,9918.759623
16569.851801,4737.318029,-459.657299,11843.295072
16569.852125,888.247130,-1991.848295,12361.439231
16569.852449,-3034.844362,-3447.429741,14285.974681
16569.852773,-5921.647536,-4749.792088,15914.427753
16569.853098,-7550.100608,-5132.839837,15692.365970
16569.853422,-9178.553681,-4903.011187,15692.365970
16569.853746,-9104.533087,-4290.134789,13619.789333
16569.854071,-7772.162391,-2681.334243,10362.883188
16569.854395,-4071.132681,-306.438199,7698.141797
16569.854719,-1628.453072,2145.067394,4441.235652
16569.855043,296.082377,3370.820191,1850.514855
16569.855368,2146.597232,4519.963438,592.164754
16569.855692,2960.823768,4903.011187,666.185348
16569.856016,3182.885551,3677.258390,2368.659014
16569.856341,962.267725,2987.772442,4441.235652
16569.856665,-370.102971,1149.143247,5995.668130
16569.856989,-518.144159,536.266849,9178.553681
16569.857313,-592.164754,536.266849,10510.924376
16569.857638,-814.226536,459.657299,11251.130318
16569.857962,74.020594,536.266849,10362.883188
16569.858286,2368.659014,2068.457845,9030.512492
16569.858611,4959.379811,3600.648841,8364.327145
16569.858935,6291.750507,3294.210641,7698.141797
16569.859259,6143.709319,2681.334243,7920.203579
16569.859583,5773.606348,2451.505594,8882.471304
16569.859908,4737.318029,1532.190996,11473.192101
16569.860232,3034.844362,-842.705048,13397.727550
16569.860556,-740.205942,-1455.581446,14878.139434
16569.860881,-2960.823768,-2221.676944,16284.530724
16569.861205,-3849.070898,-2528.115143,17320.819043
16569.861529,-4515.256246,-2145.067394,17172.777854
16569.861853,-4515.256246,-383.047749,15618.345376
16569.862178,-3849.070898,2068.457845,13175.665768
16569.862502,-296.082377,4136.915689,9696.697840
16569.862826,2812.782580,6205.373534,6439.791695
16569.863151,4293.194464,6588.421283,2368.659014
16569.863475,4515.256246,7354.516781,518.144159
16569.863799,4737.318029,6281.983084,-74.020594
16569.864123,4145.153275,4443.353888,1554.432478
16569.864448,740.205942,1762.019645,3256.906145
16569.864772,-2072.576638,-306.438199,4737.318029
16569.865096,-2516.700203,-2068.457845,6513.812290
16569.865421,-3256.906145,-3140.991542,8586.388927
16569.865745,-4663.297435,-3753.867940,10807.006753
16569.866069,-3997.112087,-3064.381992,10584.944971
16569.866393,-1850.514855,-1532.190996,10510.924376
16569.866718,1110.308913,0.000000,9622.677246
16569.867042,3256.906145,1149.143247,9622.677246
16569.867366,3701.029710,995.924147,9474.636058
16569.867691,3701.029710,536.266849,9474.636058
16569.868015,3034.844362,0.000000,11251.130318
16569.868339,592.164754,-2451.505594,13249.686362
16569.868664,-3108.864956,-4213.525239,14359.995275
16569.868988,-5403.503377,-5515.887586,15766.386565
16569.869312,-7254.018232,-6511.811733,16950.716072
16569.869636,-8142.265362,-6128.763984,18135.045579
16569.869961,-7476.080014,-4826.401637,16580.613101
16569.870285,-5847.626942,-2604.724693,13397.727550
16569.870609,-3034.844362,-536.266849,9770.718434
16569.870934,1184.329507,2068.457845,6661.853478
16569.871258,4219.173869,3677.258390,3923.091493
16569.871582,5107.421000,4979.620737,1332.370696
16569.871906,6365.771101,4979.620737,222.061783
16569.872231,5995.668130,4673.182538,814.226536
16569.872555,3701.029710,2681.334243,2664.741391
16569.872879,1036.288319,919.314598,4293.194464
16569.873204,-222.061783,153.219100,6291.750507
16569.873528,-814.226536,-1072.533697,8808.450710
16569.873852,-1554.432478,-1838.629195,9548.656652
16569.874176,-740.205942,-1149.143247,10066.800811
16569.874501,740.205942,-536.266849,8882.471304
16569.874825,2812.782580,306.438199,8882.471304
16569.875149,4441.235652,919.314598,9474.636058
16569.875474,5033.400406,1225.752797,9474.636058
16569.875798,4663.297435,919.314598,10066.800811
16569.876122,4515.256246,76.609550,12213.398043
16569.876446,2220.617826,-306.438199,14137.933492
16569.876771,-1554.432478,-1762.019645,15766.386565
16569.877095,-3182.885551,-2834.553343,16876.695478
16569.877419,-4071.132681,-2604.724693,17616.901420
16569.877744,-5625.565159,-1685.410096,17764.942608
16569.878068,-6069.688724,-383.047749,16432.571912
16569.878392,-4663.297435,1532.190996,13249.686362
16569.878716,-1702.473667,3447.429741,9844.739029
16569.879041,1480.411884,5515.887586,5551.544565
16569.879365,2664.741391,6435.202183,2072.576638
16569.879689,2220.617826,7048.078582,222.061783
16569.880014,3478.967927,6971.469032,-0.000000
16569.880338,2738.761985,5056.230287,814.226536
16569.880662,-148.041188,2987.772442,1628.453072
16569.880986,-2516.700203,2374.896044,2886.803174
16569.881311,-3330.926739,1455.581446,5107.421000
16569.881635,-3849.070898,-536.266849,7550.100608
16569.881959,-4885.359217,-383.047749,9474.636058
16569.882284,-3775.050304,383.047749,9548.656652
16569.882608,-1776.494261,842.705048,9252.574275
16569.882932,518.144159,1072.533697,9326.594869
16569.883256,2220.617826,1762.019645,8808.450710
16569.883581,2442.679609,1608.800546,8956.491898
16569.883905,2072.576638,842.705048,9992.780217
16569.884229,1924.535449,-612.876398,12139.377449
16569.884554,370.102971,-2451.505594,14508.036463
16569.884878,-2960.823768,-4443.353888,16358.551318
16569.885202,-4885.359217,-5362.668486,17690.922014
16569.885526,-4885.359217,-5209.449386,18579.169144
16569.885851,-4589.276840,-4519.963438,18949.272115
16569.886175,-4441.235652,-2451.505594,16210.510130
16569.886499,-2442.679609,-536.266849,13619.789333
16569.886824,296.082377,1685.410096,10066.800811
16569.887148,3701.029710,4136.915689,7402.059420
16569.887472,6069.688724,5209.449386,3775.050304
16569.887797,6143.709319,6052.154434,1110.308913
16569.888121,6661.853478,5515.887586,-222.061783
16569.888445,6957.935855,4060.306139,1258.350101
16569.888769,3182.885551,2604.724693,2072.576638
16569.889094,0.000000,536.266849,3256.906145
16569.889418,-1406.391290,-842.705048,4885.359217
16569.889742,-2368.659014,-1608.800546,7105.977043
16569.890067,-3552.988522,-2298.286494,9548.656652
16569.890391,-3627.009116,-2757.943793,8808.450710
16569.890715,-1332.370696,-1838.629195,8512.368333
16569.891039,666.185348,-536.266849,9030.512492
16569.891364,2146.597232,689.485948,9326.594869
16569.891688,3478.967927,536.266849,9474.636058
16569.892012,3404.947333,229.828649,10732.986159
16569.892337,3552.988522,0.000000,12435.459826
16569.892661,2072.576638,-689.485948,14730.098246
16569.892985,-518.144159,-2987.772442,16284.530724
16569.893309,-3108.864956,-2604.724693,17320.819043
16569.893634,-4293.194464,-2757.943793,18653.189738
16569.893958,-4737.318029,-2528.115143,18431.127956
16569.894282,-5181.441594,-1685.410096,16802.674883
16569.894607,-3256.906145,536.266849,13175.665768
16569.894931,-1332.370696,3677.258390,9400.615463
16569.895255,1258.350101,4903.011187,6365.771101
16569.895579,3034.844362,5515.887586,3330.926739
16569.895904,2738.761985,6665.030833,740.205942
16569.896228,2368.659014,6435.202183,-592.164754
16569.896552,2516.700203,4979.620737,518.144159
16569.896877,296.082377,3677.258390,1776.494261
16569.897201,-2516.700203,2681.334243,3256.906145
16569.897525,-3552.988522,1762.019645,4737.318029
16569.897849,-2960.823768,689.485948,6735.874072
16569.898174,-3627.009116,76.609550,8660.409521
16569.898498,-3034.844362,383.047749,8586.388927
16569.898822,-888.247130,842.705048,7994.224174
16569.899147,1850.514855,1685.410096,8586.388927
16569.899471,3997.112087,1915.238745,9178.553681
16569.899795,4293.194464,1991.848295,9622.677246
16569.900119,3108.864956,612.876398,10510.924376
16569.900444,3404.947333,306.438199,12879.583391
16569.900768,2812.782580,-1762.019645,15766.386565
16569.901092,-518.144159,-3524.039291,17468.860231
16569.901417,-2590.720797,-3830.477490,18061.024985
16569.901741,-2664.741391,-3140.991542,18949.272115
16569.902065,-3404.947333,-2911.162892,19023.292709
16569.902389,-3034.844362,-1378.971896,16580.613101
16569.902714,-1406.391290,1302.362347,13693.809927
16569.903038,592.164754,3294.210641,8882.471304
16569.903362,3775.050304,4749.792088,5995.668130
16569.903687,4737.318029,5439.278036,3330.926739
16569.904011,4219.173869,6052.154434,814.226536
16569.904335,3775.050304,5515.887586,-0.000000
16569.904660,3478.967927,3907.087040,888.247130
16569.904984,1554.432478,2068.457845,2146.597232
16569.905308,-1480.411884,536.266849,3256.906145
16569.905632,-2368.659014,-153.219100,4811.338623
16569.905957,-2590.720797,-1149.143247,6439.791695
16569.906281,-3256.906145,-1149.143247,8068.244768
16569.906605,-2294.638420,-1149.143247,8438.347739
16569.906930,-592.164754,0.000000,8216.285956
16569.907254,1628.453072,153.219100,8512.368333
16569.907578,2812.782580,766.095498,9622.677246
16569.907902,3701.029710,536.266849,9844.739029
16569.908227,3108.864956,-306.438199,10658.965565
16569.908551,1776.494261,-1072.533697,12583.501014
