#time,accel_x,accel_y,accel_z
16562.976594,2294.638420,2374.896044,10140.821405
16562.976918,3330.926739,2987.772442,10510.924376
16562.977242,3182.885551,2681.334243,11029.068536
16562.977567,2368.659014,2451.505594,10140.821405
16562.977891,1332.370696,2987.772442,9474.636058
16562.978215,2664.741391,2987.772442,9400.615463
16562.978540,1776.494261,1838.629195,8882.471304
16562.978864,74.020594,995.924147,8364.327145
16562.979188,-444.123565,766.095498,7698.141797
16562.979513,-740.205942,459.657299,7698.141797
16562.979837,-1480.411884,153.219100,8216.285956
16562.980161,-2516.700203,-612.876398,8882.471304
16562.980486,-3701.029710,-766.095498,8142.265362
16562.980810,-3775.050304,-995.924147,8438.347739
16562.981134,-3923.091493,-1532.190996,8882.471304
16562.981459,-4515.256246,-1685.410096,8882.471304
16562.981783,-4441.235652,-995.924147,8734.430116
16562.982108,-4515.256246,-1838.629195,9326.594869
16562.982432,-4219.173869,-1838.629195,9992.780217
16562.982756,-5255.462188,-2221.676944,10807.006753
16562.983081,-5551.544565,-2221.676944,10881.027347
16562.983405,-5033.400406,-1915.238745,11251.130318
16562.983729,-4737.318029,-1685.410096,11843.295072
16562.984054,-4293.194464,-919.314598,12139.377449
16562.984378,-4367.215058,-306.438199,12213.398043
16562.984702,-3775.050304,0.000000,11695.253884
16562.985027,-2960.823768,919.314598,10955.047942
16562.985351,-2442.679609,1838.629195,10881.027347
16562.985675,-3997.112087,2528.115143,10362.883188
16562.986000,-4663.297435,3600.648841,9548.656652
16562.986324,-3775.050304,4060.306139,9030.512492
16562.986648,-4737.318029,4749.792088,8512.368333
16562.986973,-5625.565159,5056.230287,7624.121203
16562.987297,-4737.318029,5898.935335,6587.832884
16562.987621,-3627.009116,6818.249932,6513.812290
16562.987946,-3108.864956,6971.469032,6661.853478
16562.988270,-2368.659014,7890.783629,5921.647536
16562.988594,-1332.370696,8044.002729,5107.421000
16562.988919,0.000000,8044.002729,5181.441594
16562.989243,1998.556043,7967.393179,6069.688724
16562.989568,2294.638420,8580.269578,7402.059420
16562.989892,1110.308913,7814.174080,8290.306550
16562.990216,1480.411884,7890.783629,8808.450710
16562.990541,1702.473667,7890.783629,10436.903782
16562.990865,518.144159,7354.516781,11325.150913
16562.991189,-592.164754,7354.516781,11991.336260
16562.991514,-1480.411884,7354.516781,11843.295072
16562.991838,-1998.556043,7354.516781,11917.315666
16562.992162,-2516.700203,7354.516781,11843.295072
16562.992487,-3627.009116,7354.516781,11325.150913
16562.992811,-4737.318029,7048.078582,10955.047942
16562.993135,-4885.359217,6741.640382,10362.883188
16562.993460,-4737.318029,5898.935335,9696.697840
16562.993784,-5107.421000,5209.449386,8068.244768
16562.994108,-5107.421000,4366.744339,6661.853478
16562.994433,-2886.803174,3294.210641,6661.853478
16562.994757,-2738.761985,1608.800546,5699.585753
16562.995081,-1998.556043,842.705048,6365.771101
16562.995406,-962.267725,76.609550,6143.709319
16562.995730,222.061783,-459.657299,6809.894666
16562.996055,666.185348,-1302.362347,7994.224174
16562.996379,1110.308913,-1302.362347,8956.491898
16562.996703,1258.350101,-1149.143247,9992.780217
16562.997028,1480.411884,-1608.800546,10288.862594
16562.997352,2442.679609,-1225.752797,10955.047942
16562.997676,2442.679609,-1608.800546,10807.006753
