#time,accel_x,accel_y,accel_z
2903.655864,148.041188,919.314598,9400.615463
2903.656179,-370.102971,919.314598,9178.553681
2903.656494,0.000000,536.266849,9178.553681
2903.656808,0.000000,612.876398,9252.574275
2903.657123,-444.123565,766.095498,9178.553681
2903.657438,0.000000,536.266849,9326.594869
2903.657753,-296.082377,459.657299,9252.574275
2903.658067,0.000000,842.705048,9326.594869
2903.658382,0.000000,919.314598,9178.553681
2903.658697,0.000000,919.314598,9326.594869
2903.659011,0.000000,766.095498,9104.533087
2903.659326,-148.041188,689.485948,9252.574275
2903.659641,-296.082377,612.876398,9400.615463
2903.659955,-148.041188,995.924147,9326.594869
2903.660270,0.000000,995.924147,9326.594869
2903.660585,-148.041188,995.924147,9474.636058
2903.660899,-296.082377,689.485948,9696.697840
2903.661214,-518.144159,766.095498,9178.553681
2903.661529,-444.123565,919.314598,9548.656652
2903.661843,-518.144159,1072.533697,9252.574275
2903.662158,-444.123565,995.924147,9178.553681
2903.662473,-296.082377,1225.752797,9178.553681
2903.662787,-222.061783,1378.971896,8956.491898
2903.663102,-148.041188,1762.019645,9178.553681
2903.663417,-592.164754,1608.800546,9104.533087
2903.663731,-592.164754,1378.971896,9252.574275
2903.664046,-518.144159,1302.362347,9252.574275
2903.664361,-740.205942,1455.581446,9400.615463
2903.664676,-1036.288319,1608.800546,9326.594869
2903.664990,-1110.308913,1532.190996,9548.656652
2903.665305,-1850.514855,1762.019645,9622.677246
2903.665620,-1480.411884,1838.629195,9400.615463
2903.665934,-1480.411884,1838.629195,9474.636058
2903.666249,-1554.432478,1838.629195,9178.553681
2903.666564,-1924.535449,2298.286494,9474.636058
2903.666878,-2072.576638,2221.676944,9474.636058
2903.667193,-2220.617826,2451.505594,9548.656652
2903.667508,-2294.638420,2528.115143,9548.656652
2903.667822,-2368.659014,3140.991542,9474.636058
2903.668137,-2516.700203,2987.772442,8956.491898
2903.668452,-2812.782580,2681.334243,8808.450710
2903.668766,-3034.844362,2987.772442,9252.574275
2903.669081,-3404.947333,3064.381992,9400.615463
2903.669396,-3775.050304,2911.162892,9178.553681
2903.669710,-3923.091493,3217.601092,8956.491898
2903.670025,-3552.988522,3830.477490,9104.533087
2903.670340,-3849.070898,3294.210641,8512.368333
2903.670654,-3923.091493,3907.087040,8142.265362
2903.670969,-3478.967927,3370.820191,8364.327145
2903.671284,-3034.844362,3677.258390,8512.368333
2903.671599,-2664.741391,3524.039291,8364.327145
2903.671913,-2072.576638,3753.867940,8290.306550
2903.672228,-1776.494261,3524.039291,8364.327145
2903.672543,-1480.411884,3064.381992,8586.388927
2903.672857,-1924.535449,3294.210641,9030.512492
2903.673172,-1702.473667,2911.162892,9178.553681
2903.673487,-1924.535449,2757.943793,9252.574275
2903.673801,-2368.659014,2374.896044,9622.677246
2903.674116,-2220.617826,2757.943793,9770.718434
2903.674431,-2368.659014,2681.334243,10140.821405
2903.674745,-2146.597232,3064.381992,10066.800811
2903.675060,-2072.576638,2528.115143,9844.739029
2903.675375,-1406.391290,3140.991542,9992.780217
2903.675689,-518.144159,3677.258390,9696.697840
2903.676004,-370.102971,3217.601092,9104.533087
2903.676319,0.000000,3140.991542,8290.306550
2903.676633,74.020594,2911.162892,8290.306550
2903.676948,-222.061783,2528.115143,8586.388927
2903.677263,-888.247130,1762.019645,9178.553681
2903.677577,-2072.576638,1608.800546,9474.636058
2903.677892,-3478.967927,1225.752797,10436.903782
2903.678207,-4071.132681,766.095498,11029.068536
2903.678522,-4737.318029,919.314598,11251.130318
2903.678836,-4441.235652,1072.533697,10510.924376
2903.679151,-3404.947333,1532.190996,9844.739029
2903.679466,-2294.638420,2528.115143,9474.636058
2903.679780,-1480.411884,3294.210641,8660.409521
2903.680095,-962.267725,3524.039291,8068.244768
2903.680410,-296.082377,3830.477490,8142.265362
2903.680724,-518.144159,3907.087040,7846.182985
2903.681039,-296.082377,3600.648841,7920.203579
2903.681354,-518.144159,2987.772442,7698.141797
2903.681668,-1258.350101,2374.896044,7772.162391
2903.681983,-1998.556043,1302.362347,8216.285956
2903.682298,-2960.823768,1149.143247,9400.615463
2903.682612,-4071.132681,766.095498,10807.006753
2903.682927,-5403.503377,229.828649,11325.150913
2903.683242,-5255.462188,459.657299,11399.171507
2903.683556,-4811.338623,919.314598,10955.047942
2903.683871,-3849.070898,1532.190996,9770.718434
2903.684186,-2664.741391,2145.067394,9030.512492
2903.684500,-2220.617826,3370.820191,8512.368333
2903.684815,-1702.473667,3983.696590,8290.306550
2903.685130,0.000000,4673.182538,8586.388927
2903.685445,296.082377,4366.744339,7920.203579
2903.685759,518.144159,4213.525239,8068.244768
2903.686074,-370.102971,3830.477490,8734.430116
2903.686389,-1924.535449,3140.991542,9844.739029
2903.686703,-3552.988522,2451.505594,10658.965565
2903.687018,-4515.256246,1532.190996,10732.986159
2903.687333,-5329.482782,1455.581446,10584.944971
2903.687647,-5921.647536,919.314598,10732.986159
2903.687962,-5995.668130,1762.019645,10955.047942
2903.688277,-5477.523971,2604.724693,10214.842000
2903.688591,-3552.988522,3447.429741,8882.471304
2903.688906,-1850.514855,4596.572988,7328.038826
2903.689221,-222.061783,5592.497135,6587.832884
2903.689535,740.205942,5745.716235,6069.688724
2903.689850,1110.308913,5439.278036,6439.791695
2903.690165,1554.432478,5132.839837,7328.038826
2903.690479,740.205942,4749.792088,8216.285956
2903.690794,-814.226536,3677.258390,9252.574275
2903.691109,-2886.803174,2528.115143,10362.883188
2903.691423,-4441.235652,1991.848295,11325.150913
2903.691738,-4663.297435,1532.190996,11843.295072
2903.692053,-4589.276840,2068.457845,11325.150913
2903.692368,-4219.173869,2374.896044,10510.924376
2903.692682,-4071.132681,3064.381992,9548.656652
2903.692997,-2442.679609,3907.087040,8882.471304
2903.693312,-1554.432478,4060.306139,7920.203579
2903.693626,-444.123565,4903.011187,7105.977043
2903.693941,222.061783,5132.839837,6809.894666
2903.694256,1480.411884,4826.401637,7179.997637
2903.694570,1554.432478,4060.306139,8068.244768
2903.694885,-222.061783,2987.772442,8734.430116
2903.695200,-1998.556043,2298.286494,9400.615463
2903.695514,-2368.659014,689.485948,9696.697840
2903.695829,-2812.782580,0.000000,11103.089130
2903.696144,-4589.276840,-229.828649,11325.150913
2903.696458,-5477.523971,-383.047749,10881.027347
2903.696773,-4515.256246,-306.438199,10140.821405
2903.697088,-2960.823768,0.000000,9622.677246
2903.697402,-1776.494261,766.095498,9400.615463
2903.697717,-1702.473667,2068.457845,8364.327145
2903.698032,-370.102971,2221.676944,7624.121203
2903.698346,1406.391290,2451.505594,7772.162391
2903.698661,1776.494261,2757.943793,7920.203579
2903.698976,1184.329507,2834.553343,7772.162391
2903.699291,1702.473667,2068.457845,7846.182985
2903.699605,1924.535449,1225.752797,9326.594869
2903.699920,814.226536,383.047749,9992.780217
2903.700235,-148.041188,-306.438199,10066.800811
2903.700549,-1110.308913,-995.924147,10066.800811
2903.700864,-1776.494261,-1838.629195,10510.924376
2903.701179,-2294.638420,-1685.410096,10510.924376
2903.701493,-2368.659014,-1838.629195,10140.821405
2903.701808,-2146.597232,-1378.971896,10140.821405
2903.702123,-1776.494261,-1762.019645,9548.656652
2903.702437,-592.164754,-459.657299,9548.656652
2903.702752,222.061783,153.219100,10288.862594
2903.703067,444.123565,689.485948,10732.986159
2903.703381,1110.308913,1685.410096,10066.800811
2903.703696,1628.453072,1762.019645,8586.388927
2903.704011,1850.514855,1838.629195,8512.368333
2903.704325,1702.473667,1685.410096,9326.594869
2903.704640,962.267725,1915.238745,8808.450710
2903.704955,222.061783,995.924147,7402.059420
2903.705269,-370.102971,-229.828649,7698.141797
2903.705584,-1998.556043,153.219100,8882.471304
2903.705899,-2738.761985,0.000000,9400.615463
2903.706214,-3849.070898,-1915.238745,9178.553681
2903.706528,-4219.173869,-1685.410096,9844.739029
2903.706843,-4145.153275,-536.266849,9992.780217
2903.707158,-3108.864956,0.000000,9918.759623
2903.707472,-2072.576638,1072.533697,10658.965565
2903.707787,-740.205942,2757.943793,9474.636058
2903.708102,1850.514855,3753.867940,8438.347739
2903.708416,3627.009116,4673.182538,7402.059420
2903.708731,4441.235652,4213.525239,7105.977043
2903.709046,5181.441594,5439.278036,7328.038826
2903.709360,4885.359217,4596.572988,7179.997637
2903.709675,3256.906145,2987.772442,8142.265362
2903.709990,1406.391290,2145.067394,8660.409521
2903.710304,-444.123565,229.828649,8882.471304
2903.710619,-2738.761985,-995.924147,9622.677246
2903.710934,-5477.523971,-2451.505594,11843.295072
2903.711248,-5773.606348,-2221.676944,12435.459826
2903.711563,-6217.729913,-2068.457845,12657.521608
2903.711877,-5773.606348,-1302.362347,12065.356855
2903.712192,-3923.091493,689.485948,11325.150913
2903.712506,-1554.432478,2221.676944,8808.450710
2903.712821,1776.494261,3524.039291,6661.853478
2903.713136,3923.091493,4979.620737,5403.503377
2903.713450,5773.606348,5745.716235,4663.297435
2903.713765,6513.812290,4749.792088,4737.318029
2903.714079,5551.544565,3294.210641,5921.647536
2903.714394,4441.235652,2221.676944,7402.059420
2903.714709,2516.700203,766.095498,9252.574275
2903.715023,-74.020594,-1762.019645,11547.212695
2903.715338,-3108.864956,-3677.258390,12805.562797
2903.715652,-5033.400406,-4136.915689,13545.768739
2903.715967,-6069.688724,-3830.477490,14285.974681
2903.716281,-5551.544565,-3447.429741,14359.995275
2903.716596,-4145.153275,-1455.581446,11991.336260
2903.716911,-1480.411884,153.219100,9548.656652
2903.717225,962.267725,1991.848295,7772.162391
2903.717540,3256.906145,3064.381992,5403.503377
2903.717854,5847.626942,4213.525239,3775.050304
2903.718169,6587.832884,4213.525239,3330.926739
2903.718484,5995.668130,2528.115143,4737.318029
2903.718798,4589.276840,1455.581446,7179.997637
2903.719113,1776.494261,-229.828649,9178.553681
2903.719427,-1184.329507,-2757.943793,11695.253884
2903.719742,-4441.235652,-4290.134789,13915.871710
2903.720056,-6291.750507,-4903.011187,14434.015869
2903.720371,-7994.224174,-5209.449386,15322.262999
2903.720686,-8660.409521,-4443.353888,15100.201217
2903.721000,-7105.977043,-2987.772442,12361.439231
2903.721315,-4071.132681,-1302.362347,9326.594869
2903.721629,-444.123565,919.314598,7031.956449
2903.721944,2664.741391,3447.429741,4811.338623
2903.722258,5107.421000,4826.401637,3108.864956
2903.722573,7105.977043,5592.497135,3404.947333
2903.722888,7476.080014,4596.572988,4145.153275
2903.723202,7328.038826,3447.429741,5255.462188
2903.723517,4811.338623,1838.629195,8216.285956
2903.723831,1850.514855,0.000000,11843.295072
2903.724146,-1776.494261,-1991.848295,14211.954086
2903.724461,-4441.235652,-3753.867940,14434.015869
2903.724775,-6809.894666,-4443.353888,14582.057057
2903.725090,-7550.100608,-3907.087040,14211.954086
2903.725404,-7031.956449,-2298.286494,12879.583391
2903.725719,-4293.194464,-459.657299,9992.780217
2903.726033,-1184.329507,1302.362347,7402.059420
2903.726348,1184.329507,3294.210641,4737.318029
2903.726663,4145.153275,5209.449386,2738.761985
2903.726977,5699.585753,5515.887586,3552.988522
2903.727292,7698.141797,5515.887586,3552.988522
2903.727606,6809.894666,4903.011187,5477.523971
2903.727921,5847.626942,2604.724693,8142.265362
2903.728236,2146.597232,306.438199,11917.315666
2903.728550,-1184.329507,-1378.971896,14434.015869
2903.728865,-3478.967927,-2757.943793,15544.324782
2903.729179,-6069.688724,-3447.429741,15840.407159
2903.729494,-7105.977043,-2911.162892,16062.468941
2903.729808,-5995.668130,-612.876398,13841.851115
2903.730123,-4145.153275,229.828649,10140.821405
2903.730438,-1850.514855,2068.457845,7179.997637
2903.730752,222.061783,4290.134789,4293.194464
2903.731067,3849.070898,6052.154434,2072.576638
2903.731381,6365.771101,6281.983084,1776.494261
2903.731696,7179.997637,6052.154434,2368.659014
2903.732011,6661.853478,4519.963438,4145.153275
2903.732325,4145.153275,2298.286494,7105.977043
2903.732640,1924.535449,-306.438199,12065.356855
2903.732954,-1628.453072,-1915.238745,15248.242405
2903.733269,-4811.338623,-3140.991542,16654.633695
2903.733583,-6587.832884,-4060.306139,17172.777854
2903.733898,-7846.182985,-4136.915689,15618.345376
2903.734213,-7772.162391,-1915.238745,13027.624579
2903.734527,-5477.523971,0.000000,9770.718434
2903.734842,-2960.823768,1685.410096,7402.059420
2903.735156,148.041188,3907.087040,4219.173869
2903.735471,3478.967927,5822.325785,2072.576638
2903.735786,5329.482782,5898.935335,444.123565
2903.736100,7254.018232,5362.668486,1258.350101
2903.736415,6957.935855,4290.134789,3627.009116
2903.736729,4811.338623,1838.629195,7254.018232
2903.737044,814.226536,-1225.752797,12065.356855
2903.737358,-2590.720797,-2911.162892,14730.098246
2903.737673,-5107.421000,-4826.401637,17098.757260
2903.737988,-7624.121203,-5745.716235,18431.127956
2903.738302,-8882.471304,-5056.230287,17838.963202
2903.738617,-7698.141797,-3140.991542,15174.221811
2903.738931,-4663.297435,-842.705048,11769.274478
2903.739246,-1554.432478,1608.800546,7772.162391
2903.739561,1480.411884,5056.230287,4219.173869
2903.739875,5699.585753,6358.592633,1628.453072
2903.740190,8882.471304,6818.249932,-222.061783
2903.740504,10288.862594,6588.421283,-222.061783
2903.740819,9622.677246,4979.620737,2664.741391
2903.741133,6365.771101,2451.505594,7031.956449
2903.741448,2812.782580,-842.705048,11991.336260
2903.741763,-1628.453072,-3370.820191,15396.283594
2903.742077,-5625.565159,-5439.278036,17838.963202
2903.742392,-8882.471304,-6052.154434,19467.416275
2903.742706,-10658.965565,-6205.373534,18505.148550
2903.743021,-9252.574275,-4060.306139,15766.386565
2903.743335,-6513.812290,-1072.533697,12065.356855
2903.743650,-3552.988522,1762.019645,8216.285956
2903.743965,592.164754,4903.011187,3182.885551
2903.744279,5107.421000,5975.544884,-222.061783
2903.744594,8808.450710,7354.516781,-1850.514855
2903.744908,9622.677246,7354.516781,-2072.576638
2903.745223,9104.533087,6358.592633,1998.556043
2903.745538,5847.626942,2834.553343,6217.729913
2903.745852,1924.535449,-842.705048,11473.192101
2903.746167,-2590.720797,-2681.334243,16062.468941
2903.746481,-6809.894666,-5439.278036,18949.272115
2903.746796,-9474.636058,-7048.078582,21021.848753
2903.747110,-10658.965565,-5898.935335,19911.539840
2903.747425,-9326.594869,-3830.477490,17024.736666
2903.747740,-6439.791695,-1532.190996,13027.624579
2903.748054,-3182.885551,1838.629195,7994.224174
2903.748369,2664.741391,6818.249932,2294.638420
2903.748683,7105.977043,8197.221829,-1184.329507
2903.748998,9918.759623,9116.536426,-2960.823768
2903.749313,11029.068536,8580.269578,-3997.112087
2903.749627,9696.697840,7354.516781,444.123565
2903.749942,6217.729913,3064.381992,5921.647536
2903.750256,2072.576638,-536.266849,11695.253884
2903.750571,-2812.782580,-2451.505594,16654.633695
2903.750885,-7550.100608,-5592.497135,20207.622217
2903.751200,-10732.986159,-7660.954980,21539.992912
2903.751515,-12065.356855,-6281.983084,20873.807564
2903.751829,-10584.944971,-4596.572988,17764.942608
2903.752144,-6661.853478,-2145.067394,13027.624579
2903.752458,-2590.720797,1915.238745,7254.018232
2903.752773,2220.617826,5439.278036,888.247130
2903.753088,7105.977043,7814.174080,-2368.659014
2903.753402,10510.924376,8503.660028,-4145.153275
2903.753717,10881.027347,7737.564530,-4219.173869
2903.754031,9474.636058,5439.278036,444.123565
2903.754346,5773.606348,2068.457845,5921.647536
2903.754660,1850.514855,-1608.800546,12583.501014
2903.754975,-3108.864956,-3983.696590,17987.004391
2903.755290,-6957.935855,-6818.249932,21762.054695
2903.755604,-9844.739029,-8120.612279,23464.528361
2903.755919,-11325.150913,-6894.859482,21984.116477
2903.756233,-8734.430116,-4596.572988,17838.963202
2903.756548,-5625.565159,-2068.457845,12213.398043
2903.756863,-1184.329507,2068.457845,6513.812290
2903.757177,3404.947333,5515.887586,444.123565
2903.757492,7624.121203,7354.516781,-2812.782580
2903.757806,10732.986159,7660.954980,-5255.462188
2903.758121,11177.109724,7277.907231,-4293.194464
2903.758435,9622.677246,5669.106685,296.082377
2903.758750,5847.626942,1455.581446,6587.832884
2903.759065,1480.411884,-1838.629195,13619.789333
2903.759379,-2812.782580,-4673.182538,18949.272115
2903.759694,-7698.141797,-7431.126331,22576.281231
2903.760008,-10807.006753,-8656.879127,23834.631332
2903.760323,-11103.089130,-7048.078582,22058.137072
2903.760637,-8290.306550,-4519.963438,18209.066173
2903.760952,-4293.194464,-1991.848295,11991.336260
2903.761267,-888.247130,2451.505594,5477.523971
2903.761581,3923.091493,5822.325785,-1184.329507
2903.761896,7698.141797,7431.126331,-4293.194464
2903.762210,9622.677246,8273.831378,-5033.400406
2903.762525,9696.697840,7584.345430,-4367.215058
2903.762840,7920.203579,5439.278036,296.082377
2903.763154,4071.132681,1608.800546,7105.977043
2903.763469,-370.102971,-2068.457845,14582.057057
2903.763783,-4885.359217,-4060.306139,20355.663405
2903.764098,-8734.430116,-6818.249932,22354.219448
2903.764412,-10436.903782,-7048.078582,23242.466579
2903.764727,-9696.697840,-4903.011187,21095.869347
2903.765042,-6217.729913,-2221.676944,16432.571912
2903.765356,-2368.659014,536.266849,9474.636058
2903.765671,1776.494261,4903.011187,3627.009116
2903.765985,5551.544565,7890.783629,-2294.638420
2903.766300,8290.306550,8273.831378,-3923.091493
2903.766615,9770.718434,8503.660028,-4663.297435
2903.766929,8956.491898,7201.297681,-3256.906145
2903.767244,6439.791695,4673.182538,3034.844362
2903.767558,2220.617826,919.314598,9844.739029
2903.767873,-1776.494261,-1685.410096,16284.530724
2903.768187,-6143.709319,-4519.963438,20207.622217
2903.768502,-9474.636058,-6511.811733,22798.343014
2903.768817,-10288.862594,-5822.325785,23242.466579
2903.769131,-8512.368333,-3294.210641,20207.622217
2903.769446,-5181.441594,-1762.019645,14508.036463
2903.769760,-1406.391290,1762.019645,7772.162391
2903.770075,2368.659014,5898.935335,1332.370696
2903.770390,5699.585753,7201.297681,-3108.864956
2903.770704,7994.224174,7584.345430,-4441.235652
2903.771019,8586.388927,7277.907231,-3775.050304
2903.771333,7031.956449,5439.278036,-518.144159
2903.771648,4145.153275,2145.067394,5995.668130
2903.771962,0.000000,-919.314598,12583.501014
2903.772277,-4441.235652,-2911.162892,18135.045579
2903.772592,-7105.977043,-4979.620737,21243.910535
2903.772906,-9104.533087,-6818.249932,23020.404796
2903.773221,-9326.594869,-4979.620737,20873.807564
2903.773535,-6587.832884,-2757.943793,17246.798449
2903.773850,-3108.864956,-1072.533697,11103.089130
2903.774165,296.082377,2451.505594,5033.400406
2903.774479,4071.132681,5592.497135,-888.247130
2903.774794,7179.997637,6588.421283,-2812.782580
2903.775108,8290.306550,6818.249932,-3404.947333
2903.775423,7772.162391,5745.716235,-2368.659014
2903.775737,5625.565159,3753.867940,1702.473667
2903.776052,2368.659014,536.266849,8438.347739
2903.776367,-1850.514855,-2068.457845,14211.954086
2903.776681,-4959.379811,-3907.087040,18949.272115
2903.776996,-7328.038826,-5669.106685,21243.910535
2903.777310,-8882.471304,-6818.249932,21243.910535
2903.777625,-8364.327145,-5056.230287,18949.272115
2903.777940,-5107.421000,-2451.505594,14656.077652
2903.778254,-1850.514855,-383.047749,9104.533087
2903.778569,1406.391290,2451.505594,3552.988522
2903.778883,4737.318029,5056.230287,-740.205942
2903.779198,6809.894666,6281.983084,-2590.720797
2903.779512,7994.224174,5975.544884,-2146.597232
2903.779827,7254.018232,4903.011187,-0.000000
2903.780142,4589.276840,2451.505594,5181.441594
2903.780456,1554.432478,-612.876398,11769.274478
2903.780771,-1998.556043,-2757.943793,16284.530724
2903.781085,-4737.318029,-4749.792088,19171.333898
2903.781400,-6809.894666,-5056.230287,20725.766376
2903.781714,-7254.018232,-5132.839837,20503.704593
2903.782029,-5995.668130,-3064.381992,17987.004391
2903.782344,-3108.864956,-1149.143247,11843.295072
2903.782658,222.061783,766.095498,6809.894666
