freq,psd_x,psd_y,psd_z,psd_xyz
161.2,1.193e+03,6.619e+03,8.532e+02,8.665e+03
162.7,2.171e+03,6.638e+03,8.861e+02,9.696e+03
164.2,2.899e+03,6.628e+03,9.064e+02,1.043e+04
165.8,3.534e+03,6.396e+03,8.725e+02,1.080e+04
167.3,3.881e+03,5.940e+03,7.535e+02,1.058e+04
168.8,4.023e+03,5.311e+03,5.894e+02,9.923e+03
170.3,3.501e+03,4.568e+03,4.226e+02,8.491e+03
171.8,2.681e+03,4.062e+03,2.731e+02,7.016e+03
173.4,2.135e+03,3.621e+03,2.001e+02,5.956e+03
174.9,1.716e+03,3.131e+03,1.699e+02,5.017e+03
176.4,1.356e+03,2.335e+03,1.546e+02,3.846e+03
177.9,1.132e+03,1.903e+03,1.802e+02,3.215e+03
179.4,9.537e+02,1.624e+03,2.200e+02,2.798e+03
181.0,8.488e+02,1.352e+03,2.837e+02,2.485e+03
182.5,1.115e+03,1.270e+03,3.280e+02,2.713e+03
184.0,1.459e+03,1.433e+03,3.567e+02,3.249e+03
185.5,1.335e+03,1.658e+03,4.596e+02,3.453e+03
187.0,9.929e+02,2.054e+03,6.080e+02,3.655e+03
188.6,8.808e+02,2.742e+03,8.161e+02,4.439e+03
190.1,8.818e+02,3.488e+03,1.160e+03,5.529e+03
191.6,8.791e+02,4.628e+03,1.654e+03,7.160e+03
193.1,9.772e+02,6.257e+03,2.180e+03,9.414e+03
194.6,1.051e+03,8.352e+03,2.513e+03,1.192e+04
196.2,1.131e+03,1.016e+04,2.564e+03,1.386e+04
197.7,1.084e+03,1.126e+04,2.373e+03,1.471e+04
199.2,1.023e+03,1.346e+04,2.191e+03,1.668e+04
