freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.136e+01,7.495e+01,6.858e+02,7.721e+02
1.6,3.009e+01,6.702e+01,4.347e+02,5.318e+02
3.1,3.091e+01,3.559e+01,7.971e+01,1.462e+02
4.7,2.969e+01,3.532e+01,4.235e+02,4.885e+02
6.2,3.175e+01,3.357e+01,1.328e+03,1.394e+03
7.8,3.469e+01,3.492e+01,2.217e+03,2.287e+03
9.3,3.116e+01,3.259e+01,3.364e+03,3.428e+03
10.9,3.675e+01,3.490e+01,5.034e+03,5.106e+03
12.4,7.694e+01,3.775e+01,7.372e+03,7.486e+03
14.0,9.132e+01,4.194e+01,7.395e+03,7.529e+03
15.5,5.316e+01,3.595e+01,6.051e+03,6.140e+03
17.1,4.336e+01,3.417e+01,7.831e+03,7.908e+03
18.6,3.795e+01,3.399e+01,1.046e+04,1.053e+04
20.2,3.505e+01,3.546e+01,1.315e+04,1.322e+04
21.8,4.075e+01,4.057e+01,1.652e+04,1.660e+04
23.3,4.059e+01,6.223e+01,2.101e+04,2.111e+04
24.9,4.225e+01,1.088e+02,2.613e+04,2.628e+04
26.4,4.507e+01,1.253e+02,3.158e+04,3.175e+04
28.0,4.382e+01,1.167e+02,3.746e+04,3.762e+04
29.5,4.392e+01,1.114e+02,4.436e+04,4.451e+04
31.1,4.834e+01,1.420e+02,5.441e+04,5.460e+04
32.6,5.746e+01,2.035e+02,6.802e+04,6.829e+04
34.2,6.480e+01,2.806e+02,8.573e+04,8.607e+04
35.7,7.799e+01,3.950e+02,1.098e+05,1.103e+05
37.3,1.065e+02,5.711e+02,1.426e+05,1.433e+05
38.8,1.357e+02,8.688e+02,1.884e+05,1.894e+05
40.4,1.956e+02,1.357e+03,2.548e+05,2.563e+05
42.0,3.016e+02,2.306e+03,3.551e+05,3.577e+05
43.5,5.371e+02,4.505e+03,5.411e+05,5.461e+05
45.1,1.205e+03,1.154e+04,1.013e+06,1.026e+06
46.6,2.360e+03,2.794e+04,1.870e+06,1.900e+06
48.2,2.475e+03,3.794e+04,2.217e+06,2.257e+06
49.7,1.594e+03,3.569e+04,1.930e+06,1.967e+06
