freq,psd_x,psd_y,psd_z,psd_xyz
0.0,8.230e+02,7.938e+00,1.193e+01,8.429e+02
1.5,4.713e+02,2.212e+01,4.220e+01,5.356e+02
3.0,3.011e+01,2.462e+01,4.991e+01,1.046e+02
4.6,2.939e+02,2.277e+01,4.523e+01,3.619e+02
6.1,1.128e+03,2.348e+01,4.473e+01,1.196e+03
7.6,1.929e+03,2.706e+01,4.682e+01,2.003e+03
9.1,3.022e+03,3.156e+01,4.702e+01,3.101e+03
10.6,4.394e+03,3.342e+01,4.511e+01,4.473e+03
12.2,4.154e+03,3.639e+01,4.734e+01,4.237e+03
13.7,4.190e+03,3.645e+01,5.072e+01,4.277e+03
15.2,5.577e+03,4.040e+01,4.917e+01,5.667e+03
16.7,7.327e+03,3.822e+01,4.784e+01,7.413e+03
18.2,9.160e+03,3.706e+01,4.716e+01,9.244e+03
19.8,1.155e+04,3.466e+01,4.396e+01,1.163e+04
21.3,1.430e+04,3.374e+01,4.375e+01,1.438e+04
22.8,1.747e+04,2.877e+01,4.912e+01,1.755e+04
24.3,2.062e+04,2.819e+01,5.223e+01,2.070e+04
25.9,2.361e+04,2.857e+01,5.166e+01,2.369e+04
27.4,2.692e+04,2.927e+01,5.282e+01,2.700e+04
28.9,3.111e+04,2.823e+01,5.188e+01,3.119e+04
30.4,3.621e+04,2.736e+01,5.251e+01,3.629e+04
31.9,4.209e+04,2.971e+01,5.877e+01,4.218e+04
33.5,4.807e+04,2.941e+01,5.663e+01,4.815e+04
35.0,5.484e+04,2.909e+01,5.504e+01,5.492e+04
36.5,6.325e+04,2.854e+01,6.021e+01,6.334e+04
38.0,7.403e+04,2.767e+01,6.247e+01,7.412e+04
39.5,8.702e+04,2.941e+01,7.653e+01,8.713e+04
41.1,9.978e+04,3.124e+01,1.220e+02,9.993e+04
42.6,1.147e+05,3.648e+01,1.930e+02,1.149e+05
44.1,1.315e+05,4.803e+01,1.683e+02,1.318e+05
45.6,1.464e+05,6.606e+01,1.621e+02,1.466e+05
47.1,1.633e+05,8.643e+01,2.386e+02,1.636e+05
48.7,1.877e+05,1.042e+02,3.623e+02,1.882e+05
50.2,2.220e+05,1.094e+02,6.869e+02,2.228e+05
51.7,2.738e+05,1.178e+02,1.514e+03,2.755e+05
53.2,3.497e+05,1.673e+02,3.846e+03,3.538e+05
54.7,4.468e+05,4.905e+02,9.225e+03,4.565e+05
56.3,5.602e+05,1.037e+03,1.155e+04,5.728e+05
57.8,7.053e+05,1.323e+03,9.364e+03,7.159e+05
59.3,9.040e+05,1.740e+03,9.769e+03,9.155e+05
60.8,1.259e+06,2.538e+03,1.032e+04,1.272e+06
62.3,1.937e+06,4.004e+03,1.115e+04,1.952e+06
63.9,2.898e+06,5.689e+03,1.159e+04,2.915e+06
65.4,3.821e+06,6.353e+03,1.096e+04,3.838e+06
66.9,4.650e+06,6.599e+03,1.064e+04,4.668e+06
68.4,4.671e+06,7.097e+03,9.543e+03,4.688e+06
70.0,3.997e+06,7.574e+03,7.811e+03,4.013e+06
71.5,3.227e+06,8.029e+03,6.620e+03,3.242e+06
73.0,2.556e+06,9.172e+03,6.444e+03,2.572e+06
74.5,2.075e+06,8.692e+03,5.667e+03,2.090e+06
76.0,1.785e+06,4.720e+03,3.202e+03,1.793e+06
77.6,1.514e+06,1.008e+03,8.139e+02,1.516e+06
79.1,1.255e+06,9.787e+02,4.245e+02,1.256e+06
80.6,1.011e+06,1.132e+03,3.958e+02,1.012e+06
82.1,8.388e+05,1.136e+03,3.369e+02,8.403e+05
83.6,7.299e+05,1.291e+03,2.882e+02,7.314e+05
85.2,6.430e+05,1.344e+03,2.326e+02,6.446e+05
86.7,5.694e+05,1.087e+03,1.438e+02,5.706e+05
88.2,4.987e+05,9.946e+02,2.227e+02,4.999e+05
89.7,4.581e+05,1.674e+03,5.085e+02,4.603e+05
91.2,4.392e+05,2.307e+03,5.959e+02,4.421e+05
92.8,4.248e+05,3.547e+03,6.244e+02,4.290e+05
94.3,4.341e+05,6.456e+03,7.364e+02,4.413e+05
95.8,4.455e+05,7.348e+03,5.914e+02,4.535e+05
97.3,3.961e+05,3.861e+03,3.299e+02,4.003e+05
98.8,3.303e+05,2.588e+03,4.264e+02,3.333e+05
100.4,2.738e+05,3.462e+03,7.268e+02,2.780e+05
101.9,2.226e+05,5.488e+03,9.748e+02,2.291e+05
103.4,1.803e+05,6.365e+03,8.808e+02,1.875e+05
104.9,1.459e+05,4.745e+03,6.059e+02,1.512e+05
106.4,1.180e+05,3.345e+03,4.954e+02,1.219e+05
108.0,9.435e+04,2.520e+03,4.657e+02,9.734e+04
109.5,7.978e+04,2.267e+03,6.161e+02,8.266e+04
111.0,7.105e+04,2.468e+03,9.062e+02,7.443e+04
112.5,7.055e+04,3.845e+03,1.313e+03,7.571e+04
114.1,9.232e+04,7.959e+03,1.923e+03,1.022e+05
115.6,1.516e+05,1.564e+04,2.555e+03,1.698e+05
117.1,2.374e+05,2.422e+04,2.869e+03,2.645e+05
118.6,3.175e+05,2.842e+04,2.496e+03,3.484e+05
120.1,3.180e+05,3.349e+04,2.674e+03,3.542e+05
121.7,2.886e+05,5.231e+04,3.050e+03,3.440e+05
123.2,3.360e+05,6.191e+04,1.875e+03,3.998e+05
124.7,3.919e+05,6.288e+04,8.357e+02,4.556e+05
126.2,4.262e+05,5.336e+04,6.706e+02,4.802e+05
127.7,4.659e+05,4.972e+04,1.416e+03,5.170e+05
129.3,5.464e+05,5.641e+04,2.920e+03,6.058e+05
130.8,6.323e+05,5.920e+04,5.474e+03,6.970e+05
132.3,5.878e+05,4.910e+04,6.959e+03,6.438e+05
133.8,1.784e+05,1.548e+04,2.656e+03,1.966e+05
135.3,5.090e+04,5.343e+03,1.262e+03,5.750e+04
136.9,5.738e+04,5.824e+03,1.857e+03,6.506e+04
138.4,6.773e+04,6.283e+03,2.763e+03,7.678e+04
139.9,7.704e+04,6.521e+03,3.969e+03,8.753e+04
141.4,8.347e+04,6.507e+03,5.443e+03,9.542e+04
142.9,8.848e+04,6.322e+03,7.396e+03,1.022e+05
144.5,8.500e+04,5.599e+03,8.991e+03,9.959e+04
146.0,6.407e+04,4.123e+03,8.491e+03,7.669e+04
147.5,4.295e+04,2.416e+03,7.292e+03,5.266e+04
149.0,2.704e+04,1.373e+03,5.971e+03,3.438e+04
150.5,1.953e+04,9.028e+02,5.410e+03,2.584e+04
152.1,1.623e+04,6.472e+02,5.472e+03,2.235e+04
153.6,1.199e+04,5.404e+02,4.872e+03,1.741e+04
155.1,8.795e+03,5.496e+02,4.314e+03,1.366e+04
156.6,6.876e+03,6.421e+02,4.029e+03,1.155e+04
158.2,5.595e+03,8.352e+02,3.830e+03,1.026e+04
159.7,5.071e+03,1.229e+03,3.977e+03,1.028e+04
161.2,4.699e+03,1.737e+03,4.173e+03,1.061e+04
162.7,4.024e+03,1.921e+03,4.067e+03,1.001e+04
164.2,3.358e+03,1.886e+03,3.833e+03,9.077e+03
165.8,3.053e+03,1.792e+03,3.640e+03,8.485e+03
167.3,2.955e+03,1.673e+03,3.529e+03,8.158e+03
168.8,3.170e+03,1.584e+03,3.628e+03,8.381e+03
170.3,3.575e+03,1.607e+03,3.874e+03,9.056e+03
171.8,3.324e+03,1.800e+03,3.859e+03,8.983e+03
173.4,2.887e+03,1.949e+03,3.731e+03,8.567e+03
174.9,2.647e+03,2.021e+03,3.660e+03,8.328e+03
