freq,psd_x,psd_y,psd_z,psd_xyz
161.4,1.037e+04,3.842e+02,3.341e+03,1.410e+04
163.0,7.796e+03,5.649e+02,2.979e+03,1.134e+04
164.5,5.929e+03,8.337e+02,2.636e+03,9.398e+03
166.1,4.756e+03,1.255e+03,2.359e+03,8.370e+03
167.6,3.858e+03,1.588e+03,2.068e+03,7.515e+03
169.2,3.436e+03,1.565e+03,1.977e+03,6.978e+03
170.7,3.061e+03,1.178e+03,1.995e+03,6.234e+03
172.3,2.550e+03,7.306e+02,1.860e+03,5.141e+03
173.9,2.217e+03,4.614e+02,1.819e+03,4.497e+03
175.4,1.920e+03,3.941e+02,1.823e+03,4.137e+03
177.0,1.762e+03,4.313e+02,1.730e+03,3.923e+03
178.5,1.950e+03,5.243e+02,1.771e+03,4.245e+03
180.1,2.370e+03,7.141e+02,2.117e+03,5.201e+03
181.6,2.466e+03,8.131e+02,2.361e+03,5.641e+03
183.2,2.218e+03,6.415e+02,2.313e+03,5.173e+03
184.7,2.331e+03,4.105e+02,2.595e+03,5.337e+03
186.3,2.556e+03,3.470e+02,3.138e+03,6.041e+03
187.8,2.693e+03,6.072e+02,3.893e+03,7.193e+03
189.4,2.624e+03,8.896e+02,4.301e+03,7.815e+03
190.9,2.809e+03,9.802e+02,4.858e+03,8.647e+03
192.5,3.488e+03,1.423e+03,6.472e+03,1.138e+04
194.0,4.075e+03,1.908e+03,7.695e+03,1.368e+04
195.6,4.382e+03,2.052e+03,8.241e+03,1.468e+04
197.1,4.930e+03,2.154e+03,8.683e+03,1.577e+04
198.7,5.138e+03,2.483e+03,8.409e+03,1.603e+04
