freq,psd_x,psd_y,psd_z,psd_xyz
0.0,6.464e+00,1.227e+02,6.375e+02,7.666e+02
1.6,1.399e+01,8.068e+01,3.728e+02,4.674e+02
3.1,1.474e+01,1.640e+01,3.577e+01,6.690e+01
4.7,1.408e+01,1.616e+01,3.754e+02,4.056e+02
6.2,1.517e+01,1.736e+01,1.342e+03,1.375e+03
7.8,1.669e+01,1.646e+01,2.365e+03,2.398e+03
9.3,1.637e+01,1.604e+01,3.911e+03,3.944e+03
10.9,3.219e+01,1.777e+01,5.806e+03,5.855e+03
12.4,3.955e+01,1.844e+01,4.404e+03,4.462e+03
14.0,2.143e+01,1.768e+01,4.051e+03,4.090e+03
15.5,1.688e+01,1.835e+01,6.027e+03,6.062e+03
17.1,1.611e+01,2.055e+01,8.557e+03,8.594e+03
18.6,2.194e+01,4.202e+01,1.119e+04,1.126e+04
20.2,2.820e+01,9.321e+01,1.369e+04,1.381e+04
21.7,2.453e+01,9.945e+01,1.678e+04,1.691e+04
23.3,2.332e+01,9.633e+01,2.120e+04,2.132e+04
24.8,2.396e+01,1.034e+02,2.657e+04,2.670e+04
26.4,2.494e+01,1.130e+02,3.248e+04,3.261e+04
27.9,2.700e+01,1.303e+02,3.898e+04,3.914e+04
29.5,3.070e+01,1.581e+02,4.637e+04,4.656e+04
31.1,3.692e+01,2.385e+02,5.598e+04,5.625e+04
32.6,4.900e+01,3.486e+02,6.911e+04,6.951e+04
34.2,7.683e+01,4.318e+02,8.238e+04,8.288e+04
35.7,1.154e+02,5.432e+02,9.894e+04,9.959e+04
37.3,1.774e+02,8.044e+02,1.259e+05,1.269e+05
38.8,2.747e+02,1.266e+03,1.657e+05,1.673e+05
40.4,4.234e+02,2.067e+03,2.225e+05,2.250e+05
41.9,6.048e+02,3.263e+03,3.070e+05,3.109e+05
43.5,7.829e+02,5.227e+03,4.564e+05,4.624e+05
45.0,1.414e+03,1.062e+04,8.126e+05,8.246e+05
46.6,2.480e+03,2.063e+04,1.395e+06,1.418e+06
48.1,3.333e+03,3.286e+04,2.054e+06,2.090e+06
49.7,4.523e+03,4.315e+04,2.545e+06,2.593e+06
51.2,4.304e+03,3.788e+04,2.019e+06,2.061e+06
52.8,4.129e+03,3.062e+04,1.425e+06,1.459e+06
54.3,4.139e+03,2.648e+04,1.150e+06,1.180e+06
55.9,3.744e+03,2.221e+04,9.294e+05,9.554e+05
57.4,3.284e+03,1.754e+04,7.162e+05,7.370e+05
59.0,3.028e+03,1.375e+04,5.605e+05,5.773e+05
60.5,2.840e+03,1.091e+04,4.450e+05,4.587e+05
62.1,2.656e+03,9.904e+03,3.699e+05,3.825e+05
63.7,2.560e+03,1.192e+04,3.214e+05,3.359e+05
65.2,2.474e+03,1.442e+04,2.867e+05,3.036e+05
66.8,2.479e+03,1.358e+04,2.486e+05,2.646e+05
68.3,3.070e+03,1.559e+04,2.181e+05,2.367e+05
69.9,3.919e+03,2.394e+04,2.046e+05,2.325e+05
71.4,3.238e+03,4.150e+04,2.123e+05,2.571e+05
73.0,9.322e+02,5.969e+04,2.289e+05,2.895e+05
74.5,1.695e+02,7.363e+04,2.288e+05,3.026e+05
76.1,3.945e+02,8.776e+04,2.164e+05,3.045e+05
