freq,psd_x,psd_y,psd_z,psd_xyz
0.0,5.728e+02,1.113e+01,1.327e+01,5.972e+02
1.6,3.480e+02,3.404e+01,5.426e+01,4.363e+02
3.1,4.668e+01,3.865e+01,6.558e+01,1.509e+02
4.7,3.562e+02,3.631e+01,7.121e+01,4.637e+02
6.2,1.197e+03,3.699e+01,7.210e+01,1.306e+03
7.8,1.980e+03,4.113e+01,7.017e+01,2.091e+03
9.3,3.032e+03,3.580e+01,6.965e+01,3.137e+03
10.9,4.591e+03,3.331e+01,6.937e+01,4.693e+03
12.4,5.490e+03,3.433e+01,9.146e+01,5.616e+03
14.0,4.712e+03,3.332e+01,1.150e+02,4.860e+03
15.5,5.475e+03,3.359e+01,7.808e+01,5.587e+03
17.1,7.297e+03,3.691e+01,6.811e+01,7.402e+03
18.6,9.365e+03,3.688e+01,6.797e+01,9.469e+03
20.2,1.188e+04,3.305e+01,6.659e+01,1.198e+04
21.8,1.477e+04,3.110e+01,6.989e+01,1.487e+04
23.3,1.766e+04,3.196e+01,7.053e+01,1.776e+04
24.9,2.039e+04,3.106e+01,6.393e+01,2.049e+04
26.4,2.365e+04,3.226e+01,6.719e+01,2.375e+04
28.0,2.725e+04,3.102e+01,6.871e+01,2.735e+04
29.5,3.147e+04,2.847e+01,7.430e+01,3.157e+04
31.1,3.646e+04,2.954e+01,8.284e+01,3.657e+04
32.6,4.222e+04,3.290e+01,8.926e+01,4.235e+04
34.2,4.900e+04,3.265e+01,9.535e+01,4.913e+04
35.7,5.639e+04,3.239e+01,1.029e+02,5.653e+04
37.3,6.476e+04,3.239e+01,9.480e+01,6.489e+04
38.8,7.581e+04,3.387e+01,9.527e+01,7.594e+04
40.4,9.010e+04,3.206e+01,1.114e+02,9.024e+04
42.0,1.067e+05,3.498e+01,1.338e+02,1.068e+05
43.5,1.249e+05,4.614e+01,1.722e+02,1.251e+05
45.1,1.474e+05,6.286e+01,2.581e+02,1.477e+05
46.6,1.749e+05,8.002e+01,3.125e+02,1.753e+05
48.2,2.019e+05,1.363e+02,3.645e+02,2.024e+05
49.7,2.263e+05,2.607e+02,5.950e+02,2.272e+05
51.3,2.628e+05,4.511e+02,9.887e+02,2.642e+05
52.8,3.229e+05,7.183e+02,1.743e+03,3.254e+05
54.4,4.239e+05,1.193e+03,3.626e+03,4.287e+05
55.9,5.873e+05,2.069e+03,8.838e+03,5.982e+05
57.5,8.447e+05,3.291e+03,1.858e+04,8.666e+05
59.0,1.230e+06,4.646e+03,1.839e+04,1.253e+06
60.6,1.669e+06,6.650e+03,1.029e+04,1.686e+06
62.2,2.007e+06,8.720e+03,4.687e+03,2.021e+06
63.7,2.090e+06,9.542e+03,1.967e+03,2.102e+06
65.3,2.043e+06,1.006e+04,9.132e+02,2.054e+06
66.8,1.925e+06,1.099e+04,9.692e+02,1.937e+06
68.4,1.707e+06,1.152e+04,2.045e+03,1.720e+06
69.9,1.492e+06,1.107e+04,3.573e+03,1.507e+06
71.5,1.340e+06,9.616e+03,4.215e+03,1.354e+06
73.0,1.162e+06,7.712e+03,3.365e+03,1.174e+06
74.6,9.419e+05,5.962e+03,2.000e+03,9.499e+05
76.1,7.649e+05,5.221e+03,1.346e+03,7.715e+05
77.7,6.211e+05,4.872e+03,1.236e+03,6.272e+05
79.2,4.900e+05,4.436e+03,1.252e+03,4.957e+05
80.8,3.847e+05,4.182e+03,1.410e+03,3.903e+05
82.4,3.499e+05,4.844e+03,1.917e+03,3.566e+05
83.9,3.291e+05,5.622e+03,1.945e+03,3.366e+05
85.5,2.759e+05,5.396e+03,1.793e+03,2.831e+05
87.0,2.438e+05,4.590e+03,1.620e+03,2.500e+05
88.6,2.356e+05,3.181e+03,1.071e+03,2.399e+05
90.1,2.454e+05,2.583e+03,5.925e+02,2.486e+05
91.7,2.581e+05,3.614e+03,7.476e+02,2.625e+05
93.2,2.625e+05,5.283e+03,1.301e+03,2.691e+05
94.8,2.521e+05,6.861e+03,1.747e+03,2.607e+05
96.3,2.260e+05,9.185e+03,2.334e+03,2.375e+05
97.9,2.012e+05,1.308e+04,3.607e+03,2.179e+05
99.4,1.858e+05,1.824e+04,5.568e+03,2.096e+05
101.0,1.699e+05,2.480e+04,8.134e+03,2.028e+05
102.5,1.490e+05,3.043e+04,1.059e+04,1.900e+05
104.1,1.243e+05,2.991e+04,1.085e+04,1.651e+05
105.7,1.019e+05,2.463e+04,9.029e+03,1.356e+05
107.2,7.927e+04,1.941e+04,6.998e+03,1.057e+05
108.8,6.018e+04,1.620e+04,5.906e+03,8.228e+04
110.3,4.780e+04,1.141e+04,4.279e+03,6.349e+04
111.9,3.720e+04,7.983e+03,3.086e+03,4.826e+04
113.4,2.885e+04,6.610e+03,2.556e+03,3.801e+04
115.0,2.440e+04,6.827e+03,2.749e+03,3.398e+04
116.5,2.658e+04,7.503e+03,3.450e+03,3.753e+04
118.1,3.607e+04,7.308e+03,3.771e+03,4.715e+04
119.6,5.553e+04,6.442e+03,3.951e+03,6.593e+04
121.2,7.919e+04,4.525e+03,3.556e+03,8.727e+04
122.7,9.760e+04,2.445e+03,2.570e+03,1.026e+05
124.3,1.188e+05,1.593e+03,1.920e+03,1.223e+05
125.9,1.453e+05,1.821e+03,1.707e+03,1.489e+05
127.4,1.720e+05,2.981e+03,1.762e+03,1.767e+05
129.0,1.865e+05,4.365e+03,1.997e+03,1.929e+05
130.5,1.852e+05,5.513e+03,2.391e+03,1.931e+05
132.1,1.487e+05,5.405e+03,2.304e+03,1.564e+05
133.6,4.573e+04,2.797e+03,8.664e+02,4.939e+04
135.2,1.288e+04,1.958e+03,4.738e+02,1.532e+04
136.7,1.436e+04,2.119e+03,6.310e+02,1.711e+04
138.3,1.632e+04,2.219e+03,7.898e+02,1.933e+04
139.8,1.776e+04,2.149e+03,9.968e+02,2.090e+04
141.4,1.799e+04,1.978e+03,1.248e+03,2.121e+04
142.9,1.740e+04,1.957e+03,1.404e+03,2.076e+04
144.5,1.614e+04,2.093e+03,1.521e+03,1.975e+04
146.1,1.382e+04,2.206e+03,1.551e+03,1.758e+04
147.6,1.138e+04,2.307e+03,1.503e+03,1.519e+04
149.2,8.978e+03,2.379e+03,1.403e+03,1.276e+04
150.7,6.950e+03,2.517e+03,1.266e+03,1.073e+04
152.3,5.322e+03,2.681e+03,1.187e+03,9.190e+03
153.8,3.834e+03,2.589e+03,1.016e+03,7.439e+03
155.4,2.665e+03,2.390e+03,8.570e+02,5.912e+03
156.9,1.859e+03,2.327e+03,7.254e+02,4.911e+03
158.5,1.405e+03,2.535e+03,7.222e+02,4.662e+03
160.0,1.131e+03,2.692e+03,8.837e+02,4.707e+03
161.6,8.478e+02,2.277e+03,1.009e+03,4.134e+03
163.1,8.363e+02,1.716e+03,1.220e+03,3.772e+03
164.7,2.010e+03,1.118e+03,1.467e+03,4.595e+03
166.3,2.953e+03,9.647e+02,1.360e+03,5.277e+03
167.8,1.348e+03,7.396e+02,1.115e+03,3.203e+03
169.4,7.499e+02,6.727e+02,1.226e+03,2.648e+03
170.9,8.208e+02,6.203e+02,1.453e+03,2.895e+03
172.5,8.246e+02,6.558e+02,1.525e+03,3.005e+03
174.0,7.412e+02,9.521e+02,1.543e+03,3.237e+03
175.6,6.656e+02,1.076e+03,1.543e+03,3.285e+03
177.1,6.966e+02,9.544e+02,1.643e+03,3.294e+03
178.7,8.028e+02,8.137e+02,1.897e+03,3.514e+03
180.2,1.091e+03,8.575e+02,2.553e+03,4.502e+03
181.8,1.502e+03,1.045e+03,3.183e+03,5.730e+03
183.3,1.943e+03,1.285e+03,3.553e+03,6.781e+03
184.9,2.515e+03,1.524e+03,3.829e+03,7.869e+03
186.5,2.917e+03,1.637e+03,3.753e+03,8.307e+03
188.0,3.122e+03,1.602e+03,3.307e+03,8.031e+03
189.6,3.153e+03,1.534e+03,2.882e+03,7.569e+03
